id,type,fpAreas,Longitude,Latitude,geometry,Occupancy,YearBuilt,NFloors
0,Building,654,-65.87644265554334,18.432714376871896,"POLYGON ((-65.8765148 18.4328643, -65.8763117 18.4328222, -65.8763654 18.4325653, -65.8765779 18.4326096, -65.8765148 18.4328643))",Other,1960.0,1.0
1,Building,340,-65.87636839074337,18.433129917304232,"POLYGON ((-65.8765096 18.4332029, -65.876453 18.4331883, -65.8764496 18.4331999, -65.8764003 18.4331872, -65.8763965 18.4332005, -65.8763212 18.4331811, -65.8763265 18.4331627, -65.8762087 18.4331322, -65.8762326 18.433049, -65.8763383 18.4330763, -65.8763418 18.4330642, -65.8764208 18.4330846, -65.8764169 18.4330982, -65.8764688 18.4331116, -65.8765312 18.4331277, -65.8765096 18.4332029))",Other,1960.0,1.0
2,Building,254,-65.87632686920657,18.433593541037563,"POLYGON ((-65.8764149 18.4336746, -65.876431 18.4336078, -65.8763693 18.4335944, -65.8763898 18.4335092, -65.8763081 18.4334916, -65.8762871 18.4335788, -65.876225 18.4335654, -65.8762094 18.4336301, -65.8764149 18.4336746))",Other,1960.0,1.0
3,Building,968,-65.87910143195421,18.434299702174076,"POLYGON ((-65.879339 18.4341912, -65.8792815 18.4342592, -65.879258 18.4342414, -65.8790731 18.4344601, -65.8790427 18.4344369, -65.8790066 18.4344797, -65.8790235 18.4344925, -65.8789708 18.4345548, -65.8789175 18.4345143, -65.8788538 18.4344658, -65.8788823 18.4344322, -65.878908 18.4344517, -65.878973 18.4343748, -65.8789457 18.434354, -65.879134 18.4341313, -65.8791152 18.434117, -65.8791646 18.4340585, -65.879339 18.4341912))",Other,1985.0,1.0
4,Building,615,-65.88003481082438,18.43234953754883,"POLYGON ((-65.8802141 18.4324826, -65.8798083 18.4323275, -65.8798554 18.4322165, -65.8802613 18.4323715, -65.8802141 18.4324826))",Other,1960.0,2.0
5,Building,197,-65.87955587808823,18.43238656028426,"POLYGON ((-65.8796675 18.432381, -65.8795702 18.4323483, -65.8794729 18.4323155, -65.8794443 18.4323921, -65.8796388 18.4324576, -65.8796675 18.432381))",Other,1960.0,1.0
6,Building,94,-65.87989404996185,18.43369594998938,"POLYGON ((-65.8798286 18.4337099, -65.8798577 18.4336424, -65.8799595 18.433682, -65.8799304 18.4337495, -65.8798286 18.4337099))",Other,1960.0,1.0
7,Building,205,-65.87967919984924,18.43211314997648,"POLYGON ((-65.8797539 18.4321869, -65.8795721 18.4321243, -65.8796045 18.4320394, -65.8797863 18.432102, -65.8797539 18.4321869))",Other,1960.0,2.0
8,Building,399,-65.8796173393009,18.433243926528718,"POLYGON ((-65.8797286 18.4333486, -65.8795375 18.4332754, -65.8795289 18.4332957, -65.8794686 18.4332726, -65.8795322 18.4331231, -65.879588 18.4331444, -65.8795783 18.4331673, -65.8797738 18.4332422, -65.8797286 18.4333486))",Other,1960.0,1.0
9,Building,407,-65.87731723809645,18.431645803840382,"POLYGON ((-65.8773121 18.4314571, -65.8774042 18.431476, -65.8773227 18.4318342, -65.8772301 18.4318153, -65.8773121 18.4314571))",Other,1960.0,1.0
10,Building,315,-65.87823500792074,18.43224095910753,"POLYGON ((-65.878336 18.4321401, -65.8783805 18.4322287, -65.8781338 18.4323417, -65.8780894 18.4322535, -65.878336 18.4321401))",,,
11,Building,2551,-65.87770683623265,18.432279407039495,"POLYGON ((-65.877561 18.4318167, -65.8777468 18.4321839, -65.8781047 18.4320196, -65.8781197 18.4320487, -65.8781483 18.4320358, -65.8781788 18.4320962, -65.8778474 18.4322485, -65.8780697 18.4326896, -65.8780081 18.4327181, -65.8779937 18.4326898, -65.8779624 18.432704, -65.8777926 18.4323676, -65.8774268 18.4325318, -65.8773867 18.4325544, -65.8773701 18.4325218, -65.8773415 18.4325352, -65.877311 18.4324743, -65.8774535 18.4324088, -65.8774326 18.432367, -65.8773581 18.4324015, -65.8772462 18.4321799, -65.8773406 18.4321363, -65.877474 18.4324001, -65.8776893 18.4323009, -65.8774799 18.4318859, -65.8775096 18.4318725, -65.8774968 18.431846, -65.877561 18.4318167))",,,
12,Building,131,-65.87909782268807,18.433565482323104,"POLYGON ((-65.8790174 18.4335767, -65.8791429 18.4336279, -65.8791809 18.4335581, -65.8790776 18.4335129, -65.8790527 18.4334997, -65.8790174 18.4335767))",Residential,1960.0,2.0
13,Building,136,-65.87915175619166,18.433489231337866,"POLYGON ((-65.8790776 18.4335129, -65.8791809 18.4335581, -65.8792259 18.4334655, -65.8791226 18.4334204, -65.8790776 18.4335129))",Residential,1960.0,2.0
14,Building,72,-65.87921274996387,18.433398699991503,"POLYGON ((-65.8791538 18.4334102, -65.8792494 18.433444, -65.8792717 18.4333872, -65.8791761 18.4333534, -65.8791538 18.4334102))",Other,1960.0,1.0
15,Building,181,-65.87937395002491,18.433498549997243,"POLYGON ((-65.8794515 18.4334489, -65.8793948 18.433585, -65.8792964 18.4335482, -65.8793531 18.4334121, -65.8794515 18.4334489))",Other,1960.0,2.0
16,Building,64,-65.87929855001322,18.433788649999833,"POLYGON ((-65.8792905 18.4337353, -65.8792513 18.4338186, -65.8793066 18.433842, -65.8793458 18.4337587, -65.8792905 18.4337353))",Other,1960.0,1.0
17,Building,150,-65.87931328466166,18.43298156988807,"POLYGON ((-65.8792472 18.4329184, -65.8794148 18.4329805, -65.8793892 18.4330425, -65.8792737 18.4329997, -65.8792678 18.433014, -65.8792157 18.4329947, -65.8792472 18.4329184))",Other,1960.0,2.0
18,Building,144,-65.87929689991165,18.43307084998257,"POLYGON ((-65.8793834 18.4330592, -65.879353 18.4331344, -65.8792104 18.4330825, -65.8792408 18.4330073, -65.8793834 18.4330592))",Other,1960.0,2.0
