Run #, bx, kx, w, fx, ky, fy, 1-PFA-1-1, 1-RMSA-1-1, 1-PFD-1-1, 1-PID-1-1, 1-PFA-2-1, 1-RMSA-2-1, 1-PFD-2-1, 1-PID-2-1, 1-PFA-3-1, 1-RMSA-3-1, 1-PFD-3-1, 1-PID-3-1, 1-PFA-4-1, 1-RMSA-4-1, 1-PFD-4-1, 1-PID-4-1, 1-PFA-5-1, 1-RMSA-5-1, 1-PFD-5-1, 1-PID-5-1, 1-PFA-6-1, 1-RMSA-6-1, 1-PFD-6-1, 1-PID-6-1, 1-PFA-7-1, 1-RMSA-7-1, 1-PFD-7-1, 1-PID-7-1, 1-PFA-8-1, 1-RMSA-8-1, 1-PFD-8-1, 1-PID-8-1, 1-PFA-9-1, 1-RMSA-9-1, 1-PFD-9-1, 1-PID-9-1
1, 0.276496, 149.14, 939.288, 5.01907, 97.3494, 13.9571, 2.85113, 0.115088, 0.16192, 0.00112444, 0.301619, 0.108997, 0.175786, 0.00011538, 0.269824, 0.108783, 0.186112, 0.000103821, 0.287074, 0.107032, 0.193329, 9.75463e-05, 0.254282, 0.0970805, 0.197899, 9.64844e-05, 0.274185, 0.0929693, 0.201056, 0.000106356, 0.292185, 0.0900645, 0.210796, 9.49909e-05, 0.282778, 0.102683, 0.220875, 7.02022e-05, 0.343014, 0.135338, 0.226466, 3.88451e-05
2, 0.106927, 129.49, 1054.5, 7.91966, 105.85, 14.1406, 2.65724, 0.0846699, 0.124362, 0.000863622, 0.238709, 0.0780756, 0.1289, 0.000113116, 0.249302, 0.0777519, 0.131456, 9.0408e-05, 0.247754, 0.0759402, 0.137261, 7.8741e-05, 0.235753, 0.0774619, 0.142315, 8.71411e-05, 0.21456, 0.0719566, 0.146171, 7.97576e-05, 0.18643, 0.0698332, 0.153772, 7.62588e-05, 0.208614, 0.0732721, 0.16147, 6.02243e-05, 0.269938, 0.097567, 0.165705, 3.96357e-05
3, 0.169945, 81.9026, 1041.37, 5.16427, 115.136, 13.3577, 2.39696, 0.199912, 0.597786, 0.00415129, 0.442107, 0.195856, 0.703893, 0.000922734, 0.522455, 0.205914, 0.805934, 0.000791687, 0.645774, 0.215974, 0.869032, 0.00053703, 0.579253, 0.233389, 0.915086, 0.000417246, 0.519297, 0.21373, 0.955021, 0.000384463, 0.599916, 0.220811, 0.983044, 0.000328434, 0.572343, 0.232774, 1.00753, 0.000275462, 0.701864, 0.266527, 1.02425, 0.000160043
4, 0.198503, 84.6955, 971.137, 6.82339, 102.771, 14.8183, 3.13462, 0.257912, 0.354131, 0.00245924, 0.789574, 0.30538, 0.419339, 0.000467041, 0.700072, 0.311031, 0.472569, 0.000390418, 0.709114, 0.27167, 0.511844, 0.000293261, 0.747048, 0.196846, 0.532555, 0.000330276, 0.525449, 0.159217, 0.536709, 0.000395716, 0.469747, 0.189194, 0.531673, 0.000349651, 0.643186, 0.273737, 0.56558, 0.000262868, 0.778472, 0.338866, 0.586704, 0.000160204
5, 0.220049, 78.7569, 919.438, 9.51434, 144.19, 16.0406, 3.02221, 0.0633713, 0.144938, 0.00100652, 0.197339, 0.0549564, 0.164488, 0.000160181, 0.181616, 0.0575484, 0.183998, 0.000159992, 0.185205, 0.0600221, 0.200438, 0.000144591, 0.161625, 0.0576721, 0.215262, 0.000135413, 0.168476, 0.0575182, 0.228817, 0.000123552, 0.186538, 0.0611867, 0.238617, 0.00010534, 0.200669, 0.0619328, 0.246226, 8.4181e-05, 0.249077, 0.073673, 0.25066, 5.25867e-05
6, 0.356975, 111.137, 1047.35, 4.38858, 97.8974, 14.9587, 2.47734, 0.113478, 0.195282, 0.00135613, 0.234981, 0.088294, 0.214459, 0.000163872, 0.246745, 0.0912555, 0.23238, 0.000150674, 0.271846, 0.0972528, 0.249664, 0.000139723, 0.258969, 0.0908812, 0.266056, 0.000127243, 0.239432, 0.0929266, 0.281221, 0.000111256, 0.238208, 0.0995672, 0.295146, 0.000100903, 0.228643, 0.0873011, 0.304873, 8.05783e-05, 0.287927, 0.116328, 0.309982, 4.89331e-05
7, 0.259306, 92.3497, 998.979, 8.07875, 89.8831, 14.8887, 2.70349, 0.135457, 0.167281, 0.00116167, 0.362297, 0.145653, 0.178504, 0.000161719, 0.358993, 0.116034, 0.181736, 0.000132483, 0.287779, 0.0983787, 0.189103, 0.000135638, 0.360319, 0.126671, 0.198697, 0.000115372, 0.33757, 0.127519, 0.206085, 9.89854e-05, 0.278683, 0.0955223, 0.210585, 0.000126303, 0.288175, 0.0966544, 0.222207, 0.00012075, 0.451061, 0.153426, 0.229651, 8.77944e-05
8, 0.200995, 152.577, 955.123, 4.43119, 113.939, 16.4609, 2.78864, 0.176844, 0.244032, 0.00169467, 0.431827, 0.154985, 0.259256, 0.000147793, 0.350904, 0.14, 0.271692, 0.000130405, 0.363967, 0.143199, 0.283978, 0.000137738, 0.369915, 0.156285, 0.297204, 0.000136757, 0.439862, 0.146615, 0.310168, 0.000121933, 0.430557, 0.122495, 0.317417, 0.000107429, 0.351323, 0.136439, 0.319412, 8.5139e-05, 0.499994, 0.195, 0.323553, 5.64948e-05
9, 0.200135, 76.6372, 952.98, 9.59039, 87.0681, 13.8337, 2.91599, 0.0596334, 0.150821, 0.00104737, 0.195975, 0.0534079, 0.174884, 0.000172311, 0.180223, 0.0588373, 0.195643, 0.000173154, 0.186952, 0.0604179, 0.211311, 0.000155316, 0.162087, 0.0566193, 0.223788, 0.000148574, 0.171094, 0.0553046, 0.240133, 0.000138226, 0.188209, 0.0586177, 0.256905, 0.000117888, 0.20539, 0.0635859, 0.269813, 9.02969e-05, 0.24662, 0.0731066, 0.276115, 5.54591e-05
10, 0.212061, 134.046, 938.866, 9.62615, 110.509, 13.3913, 2.96602, 0.0476674, 0.0709885, 0.000492975, 0.148574, 0.0355942, 0.078931, 6.44913e-05, 0.136691, 0.0388938, 0.0873106, 6.57941e-05, 0.137492, 0.039115, 0.0949184, 6.12815e-05, 0.121545, 0.0377123, 0.102088, 5.85661e-05, 0.136144, 0.0367356, 0.108283, 5.4975e-05, 0.137347, 0.0382688, 0.113693, 4.82993e-05, 0.152019, 0.0425737, 0.117576, 4.05406e-05, 0.187333, 0.0498121, 0.120015, 2.37095e-05
11, 0.0726756, 101.382, 1036.34, 4.33742, 106.183, 13.5627, 3.39588, 0.366476, 0.926613, 0.00643481, 0.841308, 0.28311, 1.1792, 0.00260977, 0.891842, 0.276289, 1.35001, 0.00193361, 0.746505, 0.249763, 1.41224, 0.00130936, 0.599461, 0.243802, 1.50221, 0.000644304, 0.568534, 0.24032, 1.54636, 0.000352571, 0.579144, 0.246315, 1.57504, 0.000270638, 0.645366, 0.26659, 1.60024, 0.000245223, 0.780732, 0.295722, 1.61739, 0.000141927
12, 0.252722, 124.645, 1051.48, 7.99904, 94.6765, 14.1938, 2.61147, 0.0666481, 0.103156, 0.000716363, 0.199317, 0.0573352, 0.109792, 7.63316e-05, 0.176945, 0.0565936, 0.117383, 6.94721e-05, 0.169316, 0.0569022, 0.1252, 6.57709e-05, 0.165991, 0.0546313, 0.131699, 6.15079e-05, 0.163936, 0.0516876, 0.137007, 6.24076e-05, 0.161969, 0.0535614, 0.140655, 5.78071e-05, 0.163701, 0.0505802, 0.144292, 5.58221e-05, 0.247522, 0.0693711, 0.148317, 3.7626e-05
13, 0.155399, 155.603, 1087.19, 7.64091, 125.528, 14.4528, 2.73397, 0.100817, 0.0989016, 0.000686817, 0.241015, 0.0980031, 0.103961, 7.40026e-05, 0.319532, 0.0910791, 0.109421, 6.99631e-05, 0.211627, 0.0844219, 0.113902, 7.13874e-05, 0.268799, 0.0950081, 0.118449, 6.03232e-05, 0.231696, 0.0895737, 0.123419, 6.57965e-05, 0.223364, 0.0761505, 0.131139, 7.35764e-05, 0.278382, 0.0798623, 0.136094, 5.6536e-05, 0.2975, 0.118162, 0.138699, 3.73107e-05
14, 0.236855, 80.1526, 969.741, 4.78484, 148.622, 13.0392, 2.67039, 0.203097, 0.458767, 0.00318588, 0.553687, 0.192348, 0.51237, 0.000532543, 0.500913, 0.193265, 0.559491, 0.000423357, 0.497543, 0.195911, 0.602145, 0.000416182, 0.546936, 0.187182, 0.646197, 0.000360022, 0.497941, 0.180941, 0.689745, 0.000342596, 0.514599, 0.181158, 0.72805, 0.000291613, 0.530961, 0.202916, 0.758832, 0.000229942, 0.622788, 0.24127, 0.778231, 0.000135479
