# Force 
# CofR : 1.500000e+00 1.187560e-10 2.250000e-01
#
# Time total_x total_y total_z pressure_x pressure_y pressure_z viscous_x viscous_y viscous_z
0 -1.849503e-07 4.088687e-11 -5.116835e-01 -1.849503e-07 4.088687e-11 -5.116835e-01 0.000000e+00 0.000000e+00 0.000000e+00
0 -1.849503e-07 4.088687e-11 -5.116835e-01 -1.849503e-07 4.088687e-11 -5.116835e-01 0.000000e+00 0.000000e+00 0.000000e+00
0.0025 1.754231e-04 1.043691e-05 -7.539164e-01 1.745066e-04 1.043356e-05 -7.539610e-01 9.164397e-07 3.346593e-09 4.464707e-05
0.0025 1.754231e-04 1.043691e-05 -7.539164e-01 1.745066e-04 1.043356e-05 -7.539610e-01 9.164397e-07 3.346593e-09 4.464707e-05
0.005 6.811645e-05 -5.925624e-05 -7.552831e-01 7.606747e-05 -6.005451e-05 -7.554925e-01 -7.951015e-06 7.982695e-07 2.093348e-04
0.005 6.811645e-05 -5.925624e-05 -7.552831e-01 7.606747e-05 -6.005451e-05 -7.554925e-01 -7.951015e-06 7.982695e-07 2.093348e-04
0.0075 2.679663e-04 6.067487e-05 -7.560190e-01 2.510329e-04 5.950492e-05 -7.555210e-01 1.693336e-05 1.169953e-06 -4.979297e-04
0.0075 2.679663e-04 6.067487e-05 -7.560190e-01 2.510329e-04 5.950492e-05 -7.555210e-01 1.693336e-05 1.169953e-06 -4.979297e-04
0.01 1.832352e-04 1.310128e-04 -7.563571e-01 1.699649e-04 1.252662e-04 -7.555571e-01 1.327035e-05 5.746578e-06 -7.999405e-04
0.01 1.832352e-04 1.310128e-04 -7.563571e-01 1.699649e-04 1.252662e-04 -7.555571e-01 1.327035e-05 5.746578e-06 -7.999405e-04
0.0125 1.024577e-04 -1.276926e-04 -7.564312e-01 8.107541e-05 -1.262430e-04 -7.554282e-01 2.138226e-05 -1.449625e-06 -1.002997e-03
0.0125 1.024577e-04 -1.276926e-04 -7.564312e-01 8.107541e-05 -1.262430e-04 -7.554282e-01 2.138226e-05 -1.449625e-06 -1.002997e-03
0.015 1.326832e-04 7.465551e-05 -7.566005e-01 1.139111e-04 7.176917e-05 -7.554649e-01 1.877204e-05 2.886340e-06 -1.135613e-03
0.015 1.326832e-04 7.465551e-05 -7.566005e-01 1.139111e-04 7.176917e-05 -7.554649e-01 1.877204e-05 2.886340e-06 -1.135613e-03
0.0175 4.196489e-05 -6.909722e-05 -7.567962e-01 1.399629e-05 -6.796825e-05 -7.555168e-01 2.796860e-05 -1.128962e-06 -1.279384e-03
0.0175 4.196489e-05 -6.909722e-05 -7.567962e-01 1.399629e-05 -6.796825e-05 -7.555168e-01 2.796860e-05 -1.128962e-06 -1.279384e-03
0.02 2.315741e-04 7.391654e-05 -7.568401e-01 2.034793e-04 7.506991e-05 -7.554567e-01 2.809472e-05 -1.153367e-06 -1.383404e-03
0.02 2.315741e-04 7.391654e-05 -7.568401e-01 2.034793e-04 7.506991e-05 -7.554567e-01 2.809472e-05 -1.153367e-06 -1.383404e-03
0.0225 8.816168e-05 -1.144431e-04 -7.569735e-01 5.493453e-05 -1.142635e-04 -7.554576e-01 3.322714e-05 -1.795558e-07 -1.515909e-03
0.0225 8.816168e-05 -1.144431e-04 -7.569735e-01 5.493453e-05 -1.142635e-04 -7.554576e-01 3.322714e-05 -1.795558e-07 -1.515909e-03
0.025 1.790567e-04 1.143321e-04 -7.571966e-01 1.438131e-04 1.142338e-04 -7.555052e-01 3.524359e-05 9.825315e-08 -1.691462e-03
0.025 1.790567e-04 1.143321e-04 -7.571966e-01 1.438131e-04 1.142338e-04 -7.555052e-01 3.524359e-05 9.825315e-08 -1.691462e-03
0.0275 9.557439e-05 -1.273522e-04 -7.572957e-01 5.665242e-05 -1.274813e-04 -7.554764e-01 3.892197e-05 1.290617e-07 -1.819286e-03
0.0275 9.557439e-05 -1.273522e-04 -7.572957e-01 5.665242e-05 -1.274813e-04 -7.554764e-01 3.892197e-05 1.290617e-07 -1.819286e-03
0.03 2.375970e-04 1.717756e-04 -7.573291e-01 1.943611e-04 1.717227e-04 -7.554722e-01 4.323593e-05 5.291661e-08 -1.856888e-03
0.03 2.375970e-04 1.717756e-04 -7.573291e-01 1.943611e-04 1.717227e-04 -7.554722e-01 4.323593e-05 5.291661e-08 -1.856888e-03
0.0325 1.364094e-04 -1.733590e-04 -7.574090e-01 8.938902e-05 -1.734663e-04 -7.555355e-01 4.702034e-05 1.072254e-07 -1.873481e-03
0.0325 1.364094e-04 -1.733590e-04 -7.574090e-01 8.938902e-05 -1.734663e-04 -7.555355e-01 4.702034e-05 1.072254e-07 -1.873481e-03
