# Moment      
# CofR        : (1.500000e+00 1.187560e-10 2.250000e-01)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0             	(1.575141e-08 -9.616195e-06 1.190076e-11)	(1.575141e-08 -9.616195e-06 1.190076e-11)	(0.000000e+00 0.000000e+00 0.000000e+00)
0             	(1.575141e-08 -9.616195e-06 1.190076e-11)	(1.575141e-08 -9.616195e-06 1.190076e-11)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0025        	(7.865131e-07 -2.663326e-05 3.240215e-06)	(7.871927e-07 -2.677498e-05 2.957455e-06)	(-6.796130e-10 1.417215e-07 2.827598e-07)
0.0025        	(7.865131e-07 -2.663326e-05 3.240215e-06)	(7.871927e-07 -2.677498e-05 2.957455e-06)	(-6.796130e-10 1.417215e-07 2.827598e-07)
0.005         	(-4.988369e-06 -2.604488e-05 -5.577466e-07)	(-4.982453e-06 -2.536791e-05 -1.719155e-07)	(-5.915793e-09 -6.769673e-07 -3.858311e-07)
0.005         	(-4.988369e-06 -2.604488e-05 -5.577466e-07)	(-4.982453e-06 -2.536791e-05 -1.719155e-07)	(-5.915793e-09 -6.769673e-07 -3.858311e-07)
0.0075        	(3.981031e-06 -2.436876e-05 3.386666e-07)	(4.144666e-06 -2.685548e-05 1.448512e-07)	(-1.636354e-07 2.486720e-06 1.938155e-07)
0.0075        	(3.981031e-06 -2.436876e-05 3.386666e-07)	(4.144666e-06 -2.685548e-05 1.448512e-07)	(-1.636354e-07 2.486720e-06 1.938155e-07)
0.01          	(8.407468e-06 -2.506219e-05 2.113933e-08)	(9.097126e-06 -2.724725e-05 -7.388837e-08)	(-6.896586e-07 2.185064e-06 9.502771e-08)
0.01          	(8.407468e-06 -2.506219e-05 2.113933e-08)	(9.097126e-06 -2.724725e-05 -7.388837e-08)	(-6.896586e-07 2.185064e-06 9.502771e-08)
0.0125        	(-8.350253e-06 -1.357160e-05 4.160630e-08)	(-8.501671e-06 -1.681029e-05 -1.366452e-09)	(1.514175e-07 3.238689e-06 4.297276e-08)
0.0125        	(-8.350253e-06 -1.357160e-05 4.160630e-08)	(-8.501671e-06 -1.681029e-05 -1.366452e-09)	(1.514175e-07 3.238689e-06 4.297276e-08)
0.015         	(4.882722e-06 -1.788512e-05 -1.160786e-07)	(5.173895e-06 -2.104920e-05 -3.198749e-08)	(-2.911735e-07 3.164079e-06 -8.409108e-08)
0.015         	(4.882722e-06 -1.788512e-05 -1.160786e-07)	(5.173895e-06 -2.104920e-05 -3.198749e-08)	(-2.911735e-07 3.164079e-06 -8.409108e-08)
0.0175        	(-6.881921e-06 -1.105806e-05 -1.110087e-08)	(-7.030226e-06 -1.536759e-05 4.727254e-08)	(1.483051e-07 4.309532e-06 -5.837342e-08)
0.0175        	(-6.881921e-06 -1.105806e-05 -1.110087e-08)	(-7.030226e-06 -1.536759e-05 4.727254e-08)	(1.483051e-07 4.309532e-06 -5.837342e-08)
0.02          	(7.644280e-06 -2.253525e-05 -1.801762e-08)	(7.532982e-06 -2.713727e-05 -4.401933e-08)	(1.112984e-07 4.602018e-06 2.600171e-08)
0.02          	(7.644280e-06 -2.253525e-05 -1.801762e-08)	(7.532982e-06 -2.713727e-05 -4.401933e-08)	(1.112984e-07 4.602018e-06 2.600171e-08)
0.0225        	(-9.501335e-06 -1.359391e-05 8.034054e-08)	(-9.514792e-06 -1.896849e-05 1.970227e-08)	(1.345730e-08 5.374578e-06 6.063827e-08)
0.0225        	(-9.501335e-06 -1.359391e-05 8.034054e-08)	(-9.514792e-06 -1.896849e-05 1.970227e-08)	(1.345730e-08 5.374578e-06 6.063827e-08)
0.025         	(1.108968e-05 -2.086868e-05 -4.634427e-08)	(1.108143e-05 -2.664800e-05 -2.319777e-08)	(8.254723e-09 5.779318e-06 -2.314650e-08)
0.025         	(1.108968e-05 -2.086868e-05 -4.634427e-08)	(1.108143e-05 -2.664800e-05 -2.319777e-08)	(8.254723e-09 5.779318e-06 -2.314650e-08)
0.0275        	(-1.297521e-05 -1.188339e-05 5.779499e-08)	(-1.296336e-05 -1.829301e-05 1.315267e-08)	(-1.185233e-08 6.409622e-06 4.464232e-08)
0.0275        	(-1.297521e-05 -1.188339e-05 5.779499e-08)	(-1.296336e-05 -1.829301e-05 1.315267e-08)	(-1.185233e-08 6.409622e-06 4.464232e-08)
0.03          	(1.583273e-05 -2.204798e-05 -1.531109e-08)	(1.582220e-05 -2.911874e-05 -1.891249e-08)	(1.053000e-08 7.070757e-06 3.601400e-09)
0.03          	(1.583273e-05 -2.204798e-05 -1.531109e-08)	(1.582220e-05 -2.911874e-05 -1.891249e-08)	(1.053000e-08 7.070757e-06 3.601400e-09)
0.0325        	(-1.604316e-05 -1.428267e-05 6.377683e-09)	(-1.603302e-05 -2.196309e-05 3.366372e-09)	(-1.014301e-08 7.680424e-06 3.011311e-09)
0.0325        	(-1.604316e-05 -1.428267e-05 6.377683e-09)	(-1.603302e-05 -2.196309e-05 3.366372e-09)	(-1.014301e-08 7.680424e-06 3.011311e-09)
0.035         	(1.685855e-05 -2.212787e-05 5.743236e-08)	(1.685791e-05 -3.039920e-05 1.778770e-08)	(6.420640e-10 8.271327e-06 3.964467e-08)
0.035         	(1.685855e-05 -2.212787e-05 5.743236e-08)	(1.685791e-05 -3.039920e-05 1.778770e-08)	(6.420640e-10 8.271327e-06 3.964467e-08)
0.0375        	(-1.910117e-05 -1.504090e-05 -6.762209e-08)	(-1.909420e-05 -2.390541e-05 -3.067245e-08)	(-6.975004e-09 8.864514e-06 -3.694964e-08)
0.0375        	(-1.910117e-05 -1.504090e-05 -6.762209e-08)	(-1.909420e-05 -2.390541e-05 -3.067245e-08)	(-6.975004e-09 8.864514e-06 -3.694964e-08)
0.04          	(1.904451e-05 -1.936587e-05 1.017969e-07)	(1.905289e-05 -2.877025e-05 3.688516e-08)	(-8.382755e-09 9.404381e-06 6.491175e-08)
0.04          	(1.904451e-05 -1.936587e-05 1.017969e-07)	(1.905289e-05 -2.877025e-05 3.688516e-08)	(-8.382755e-09 9.404381e-06 6.491175e-08)
0.0425        	(-2.166316e-05 -1.073591e-05 -7.442517e-08)	(-2.164657e-05 -2.073970e-05 -3.609901e-08)	(-1.659003e-08 1.000379e-05 -3.832617e-08)
0.0425        	(-2.166316e-05 -1.073591e-05 -7.442517e-08)	(-2.164657e-05 -2.073970e-05 -3.609901e-08)	(-1.659003e-08 1.000379e-05 -3.832617e-08)
0.045         	(2.733782e-05 -1.400092e-05 1.149168e-07)	(2.733528e-05 -2.461104e-05 3.965707e-08)	(2.541447e-09 1.061011e-05 7.525971e-08)
0.045         	(2.733782e-05 -1.400092e-05 1.149168e-07)	(2.733528e-05 -2.461104e-05 3.965707e-08)	(2.541447e-09 1.061011e-05 7.525971e-08)
0.0475        	(-2.048569e-05 -7.410564e-06 -5.116260e-08)	(-2.047646e-05 -1.859524e-05 -3.110955e-08)	(-9.227615e-09 1.118467e-05 -2.005305e-08)
0.0475        	(-2.048569e-05 -7.410564e-06 -5.116260e-08)	(-2.047646e-05 -1.859524e-05 -3.110955e-08)	(-9.227615e-09 1.118467e-05 -2.005305e-08)
0.05          	(2.521297e-05 -9.329671e-06 -1.446450e-08)	(2.521361e-05 -2.108596e-05 -2.360335e-09)	(-6.444795e-10 1.175629e-05 -1.210417e-08)
0.05          	(2.521297e-05 -9.329671e-06 -1.446450e-08)	(2.521361e-05 -2.108596e-05 -2.360335e-09)	(-6.444795e-10 1.175629e-05 -1.210417e-08)
0.0525        	(-2.485574e-05 -1.675552e-05 4.008928e-08)	(-2.483648e-05 -2.912728e-05 1.318725e-08)	(-1.926091e-08 1.237176e-05 2.690202e-08)
0.0525        	(-2.485574e-05 -1.675552e-05 4.008928e-08)	(-2.483648e-05 -2.912728e-05 1.318725e-08)	(-1.926091e-08 1.237176e-05 2.690202e-08)
0.055         	(2.458585e-05 -1.735250e-05 -3.776784e-08)	(2.459265e-05 -3.033038e-05 -1.690350e-08)	(-6.797274e-09 1.297788e-05 -2.086434e-08)
0.055         	(2.458585e-05 -1.735250e-05 -3.776784e-08)	(2.459265e-05 -3.033038e-05 -1.690350e-08)	(-6.797274e-09 1.297788e-05 -2.086434e-08)
0.0575        	(-2.740376e-05 -1.555819e-05 5.850276e-08)	(-2.737687e-05 -2.912030e-05 2.126424e-08)	(-2.689360e-08 1.356211e-05 3.723852e-08)
0.0575        	(-2.740376e-05 -1.555819e-05 5.850276e-08)	(-2.737687e-05 -2.912030e-05 2.126424e-08)	(-2.689360e-08 1.356211e-05 3.723852e-08)
0.06          	(2.640027e-05 -1.158053e-05 -6.315317e-08)	(2.641135e-05 -2.573275e-05 -2.995603e-08)	(-1.108350e-08 1.415222e-05 -3.319714e-08)
0.06          	(2.640027e-05 -1.158053e-05 -6.315317e-08)	(2.641135e-05 -2.573275e-05 -2.995603e-08)	(-1.108350e-08 1.415222e-05 -3.319714e-08)
0.0625        	(-2.921672e-05 -1.263500e-05 8.110347e-08)	(-2.920691e-05 -2.739934e-05 3.327831e-08)	(-9.811504e-09 1.476434e-05 4.782515e-08)
0.0625        	(-2.921672e-05 -1.263500e-05 8.110347e-08)	(-2.920691e-05 -2.739934e-05 3.327831e-08)	(-9.811504e-09 1.476434e-05 4.782515e-08)
0.065         	(3.098053e-05 -1.910815e-05 -4.872324e-08)	(3.097800e-05 -3.446425e-05 -2.422672e-08)	(2.535402e-09 1.535610e-05 -2.449652e-08)
0.065         	(3.098053e-05 -1.910815e-05 -4.872324e-08)	(3.097800e-05 -3.446425e-05 -2.422672e-08)	(2.535402e-09 1.535610e-05 -2.449652e-08)
0.0675        	(-3.831275e-05 -5.721991e-06 2.689898e-08)	(-3.828312e-05 -2.168457e-05 8.991146e-09)	(-2.962611e-08 1.596258e-05 1.790783e-08)
0.0675        	(-3.831275e-05 -5.721991e-06 2.689898e-08)	(-3.828312e-05 -2.168457e-05 8.991146e-09)	(-2.962611e-08 1.596258e-05 1.790783e-08)
0.07          	(3.495710e-05 -1.888131e-05 2.487383e-08)	(3.496411e-05 -3.551603e-05 5.064593e-09)	(-7.003264e-09 1.663472e-05 1.980924e-08)
0.07          	(3.495710e-05 -1.888131e-05 2.487383e-08)	(3.496411e-05 -3.551603e-05 5.064593e-09)	(-7.003264e-09 1.663472e-05 1.980924e-08)
0.0725        	(-3.105435e-05 -1.286701e-06 -6.938428e-08)	(-3.102711e-05 -1.853684e-05 -2.449175e-08)	(-2.723700e-08 1.725014e-05 -4.489253e-08)
0.0725        	(-3.105435e-05 -1.286701e-06 -6.938428e-08)	(-3.102711e-05 -1.853684e-05 -2.449175e-08)	(-2.723700e-08 1.725014e-05 -4.489253e-08)
0.075         	(3.338110e-05 -1.594032e-05 1.280381e-07)	(3.339720e-05 -3.377413e-05 4.706359e-08)	(-1.610070e-08 1.783381e-05 8.097449e-08)
0.075         	(3.338110e-05 -1.594032e-05 1.280381e-07)	(3.339720e-05 -3.377413e-05 4.706359e-08)	(-1.610070e-08 1.783381e-05 8.097449e-08)
0.0775        	(-3.354415e-05 2.701291e-06 -1.844356e-07)	(-3.353983e-05 -1.581298e-05 -6.539962e-08)	(-4.321017e-09 1.851427e-05 -1.190360e-07)
0.0775        	(-3.354415e-05 2.701291e-06 -1.844356e-07)	(-3.353983e-05 -1.581298e-05 -6.539962e-08)	(-4.321017e-09 1.851427e-05 -1.190360e-07)
0.08          	(3.168690e-05 -1.734910e-05 1.600481e-07)	(3.168721e-05 -3.642093e-05 6.655683e-08)	(-3.071299e-10 1.907183e-05 9.349129e-08)
0.08          	(3.168690e-05 -1.734910e-05 1.600481e-07)	(3.168721e-05 -3.642093e-05 6.655683e-08)	(-3.071299e-10 1.907183e-05 9.349129e-08)
0.0825        	(-3.383446e-05 3.031935e-06 -9.079553e-08)	(-3.379169e-05 -1.699783e-05 -4.681775e-08)	(-4.277145e-08 2.002977e-05 -4.397779e-08)
0.0825        	(-3.383446e-05 3.031935e-06 -9.079553e-08)	(-3.379169e-05 -1.699783e-05 -4.681775e-08)	(-4.277145e-08 2.002977e-05 -4.397779e-08)
0.085         	(3.045442e-05 -1.832135e-05 9.063731e-11)	(3.046110e-05 -3.871353e-05 1.176835e-08)	(-6.683818e-09 2.039218e-05 -1.167771e-08)
0.085         	(3.045442e-05 -1.832135e-05 9.063731e-11)	(3.046110e-05 -3.871353e-05 1.176835e-08)	(-6.683818e-09 2.039218e-05 -1.167771e-08)
0.0875        	(-3.072189e-05 -9.221066e-07 8.959746e-08)	(-3.077281e-05 -2.198789e-05 3.923200e-08)	(5.091792e-08 2.106578e-05 5.036546e-08)
0.0875        	(-3.072189e-05 -9.221066e-07 8.959746e-08)	(-3.077281e-05 -2.198789e-05 3.923200e-08)	(5.091792e-08 2.106578e-05 5.036546e-08)
0.09          	(2.189767e-05 -2.151358e-05 -2.603958e-07)	(2.192345e-05 -4.321215e-05 -1.038865e-07)	(-2.578761e-08 2.169857e-05 -1.565093e-07)
