# Force bins  
# bins        : 3
# start       : 4.263142e-03
# end         : 5.000496e-01
# delta       : 1.652621e-01
# direction   : (0.000000e+00 0.000000e+00 1.000000e+00)
# x co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	1.695253e-01	3.347874e-01	5.000496e-01
#
# Time        	0:(total_x total_y total_z)	0:(pressure_x pressure_y pressure_z)	0:(viscous_x viscous_y viscous_z)	1:(total_x total_y total_z)	1:(pressure_x pressure_y pressure_z)	1:(viscous_x viscous_y viscous_z)	2:(total_x total_y total_z)	2:(pressure_x pressure_y pressure_z)	2:(viscous_x viscous_y viscous_z)
0             	(-7.611685e-08 1.864102e-09 -4.241071e-03)	(-7.611685e-08 1.864102e-09 -4.241071e-03)	(0.000000e+00 0.000000e+00 0.000000e+00)	(7.143473e-05 1.283088e-05 -5.898952e-01)	(7.143473e-05 1.283088e-05 -5.898952e-01)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.437105e-11 1.432591e-13 3.866609e-02)	(1.437105e-11 1.432591e-13 3.866609e-02)	(0.000000e+00 0.000000e+00 0.000000e+00)
0             	(-7.611685e-08 1.864102e-09 -4.241071e-03)	(-7.611685e-08 1.864102e-09 -4.241071e-03)	(0.000000e+00 0.000000e+00 0.000000e+00)	(7.143473e-05 1.283088e-05 -5.898952e-01)	(7.143473e-05 1.283088e-05 -5.898952e-01)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.437105e-11 1.432591e-13 3.866609e-02)	(1.437105e-11 1.432591e-13 3.866609e-02)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.005         	(1.288954e-05 5.371625e-06 -8.203247e-01)	(1.289311e-05 5.368114e-06 -8.203206e-01)	(-3.565892e-09 3.511457e-09 -4.097237e-06)	(-2.765054e-05 -3.565688e-05 8.717655e-03)	(-2.802653e-05 -3.565988e-05 8.737091e-03)	(3.759897e-07 2.996813e-09 -1.943596e-05)	(3.325508e-06 1.695907e-08 3.864655e-02)	(2.507225e-06 1.695538e-08 3.866093e-02)	(8.182827e-07 3.688143e-12 -1.437965e-05)
0.005         	(1.288954e-05 5.371625e-06 -8.203247e-01)	(1.289311e-05 5.368114e-06 -8.203206e-01)	(-3.565892e-09 3.511457e-09 -4.097237e-06)	(-2.765054e-05 -3.565688e-05 8.717655e-03)	(-2.802653e-05 -3.565988e-05 8.737091e-03)	(3.759897e-07 2.996813e-09 -1.943596e-05)	(3.325508e-06 1.695907e-08 3.864655e-02)	(2.507225e-06 1.695538e-08 3.866093e-02)	(8.182827e-07 3.688143e-12 -1.437965e-05)
0.01          	(2.761447e-05 6.731349e-05 -8.203534e-01)	(2.760598e-05 6.725468e-05 -8.203412e-01)	(8.497180e-09 5.880251e-08 -1.221402e-05)	(-8.400344e-05 3.530103e-05 9.743979e-03)	(-7.292225e-05 3.621384e-05 8.195924e-03)	(-1.108120e-05 -9.128119e-07 1.548055e-03)	(6.971534e-06 9.660897e-07 3.858419e-02)	(1.785078e-06 3.560815e-07 3.866081e-02)	(5.186455e-06 6.100082e-07 -7.661426e-05)
0.01          	(2.761447e-05 6.731349e-05 -8.203534e-01)	(2.760598e-05 6.725468e-05 -8.203412e-01)	(8.497180e-09 5.880251e-08 -1.221402e-05)	(-8.400344e-05 3.530103e-05 9.743979e-03)	(-7.292225e-05 3.621384e-05 8.195924e-03)	(-1.108120e-05 -9.128119e-07 1.548055e-03)	(6.971534e-06 9.660897e-07 3.858419e-02)	(1.785078e-06 3.560815e-07 3.866081e-02)	(5.186455e-06 6.100082e-07 -7.661426e-05)
0.015         	(-1.532198e-05 -8.522658e-05 -8.203556e-01)	(-1.531809e-05 -8.522211e-05 -8.203424e-01)	(-3.885507e-09 -4.477138e-09 -1.320240e-05)	(-2.523701e-05 -2.511808e-04 6.090010e-03)	(-6.412433e-05 -2.488790e-04 7.562608e-03)	(3.888732e-05 -2.301851e-06 -1.472598e-03)	(1.456597e-05 -3.775953e-07 3.852210e-02)	(2.874689e-06 -4.189414e-07 3.866395e-02)	(1.169128e-05 4.134609e-08 -1.418524e-04)
0.015         	(-1.532198e-05 -8.522658e-05 -8.203556e-01)	(-1.531809e-05 -8.522211e-05 -8.203424e-01)	(-3.885507e-09 -4.477138e-09 -1.320240e-05)	(-2.523701e-05 -2.511808e-04 6.090010e-03)	(-6.412433e-05 -2.488790e-04 7.562608e-03)	(3.888732e-05 -2.301851e-06 -1.472598e-03)	(1.456597e-05 -3.775953e-07 3.852210e-02)	(2.874689e-06 -4.189414e-07 3.866395e-02)	(1.169128e-05 4.134609e-08 -1.418524e-04)
0.02          	(6.237099e-05 8.482638e-05 -8.203431e-01)	(6.230672e-05 8.477224e-05 -8.203318e-01)	(6.427264e-08 5.414088e-08 -1.124551e-05)	(8.390541e-05 -5.221922e-05 6.705618e-03)	(5.814119e-05 -5.753503e-05 9.000040e-03)	(2.576422e-05 5.315811e-06 -2.294422e-03)	(2.256681e-05 -5.802220e-07 3.848788e-02)	(3.442001e-06 -2.847903e-07 3.866340e-02)	(1.912481e-05 -2.954317e-07 -1.755161e-04)
0.02          	(6.237099e-05 8.482638e-05 -8.203431e-01)	(6.230672e-05 8.477224e-05 -8.203318e-01)	(6.427264e-08 5.414088e-08 -1.124551e-05)	(8.390541e-05 -5.221922e-05 6.705618e-03)	(5.814119e-05 -5.753503e-05 9.000040e-03)	(2.576422e-05 5.315811e-06 -2.294422e-03)	(2.256681e-05 -5.802220e-07 3.848788e-02)	(3.442001e-06 -2.847903e-07 3.866340e-02)	(1.912481e-05 -2.954317e-07 -1.755161e-04)
