# Force bins 
# bins : 3
# start : 4.262203e-03
# end : 5.000496e-01
# delta : 1.652625e-01
# direction : 0.000000e+00 0.000000e+00 1.000000e+00
# x co-ords : 0.000000e+00 0.000000e+00 0.000000e+00
# y co-ords : 0.000000e+00 0.000000e+00 0.000000e+00
# z co-ords : 1.695247e-01 3.347871e-01 5.000496e-01
#
# Time 0:total_x total_y total_z 0:pressure_x pressure_y pressure_z 0:viscous_x viscous_y viscous_z 1:total_x total_y total_z 1:pressure_x pressure_y pressure_z 1:viscous_x viscous_y viscous_z 2:total_x total_y total_z 2:pressure_x pressure_y pressure_z 2:viscous_x viscous_y viscous_z
0 -3.147403e-07 -2.343275e-10 -8.274079e-03 -3.147403e-07 -2.343275e-10 -8.274079e-03 0.000000e+00 0.000000e+00 0.000000e+00 1.297568e-07 2.752193e-10 -5.420162e-01 1.297568e-07 2.752193e-10 -5.420162e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.327374e-11 -7.089303e-15 3.860679e-02 3.327374e-11 -7.089303e-15 3.860679e-02 0.000000e+00 0.000000e+00 0.000000e+00
0 -3.147403e-07 -2.343275e-10 -8.274079e-03 -3.147403e-07 -2.343275e-10 -8.274079e-03 0.000000e+00 0.000000e+00 0.000000e+00 1.297568e-07 2.752193e-10 -5.420162e-01 1.297568e-07 2.752193e-10 -5.420162e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.327374e-11 -7.089303e-15 3.860679e-02 3.327374e-11 -7.089303e-15 3.860679e-02 0.000000e+00 0.000000e+00 0.000000e+00
0.0025 9.644307e-05 6.235881e-06 -7.975687e-01 9.642566e-05 6.234917e-06 -7.976337e-01 1.740965e-08 9.641665e-10 6.500219e-05 7.610915e-05 4.146202e-06 5.058780e-03 7.584353e-05 4.145908e-06 5.072016e-03 2.656231e-07 2.940087e-10 -1.323554e-05 2.870847e-06 5.482860e-08 3.859355e-02 2.237440e-06 5.274019e-08 3.860067e-02 6.334070e-07 2.088418e-09 -7.119583e-06
0.0025 9.644307e-05 6.235881e-06 -7.975687e-01 9.642566e-05 6.234917e-06 -7.976337e-01 1.740965e-08 9.641665e-10 6.500219e-05 7.610915e-05 4.146202e-06 5.058780e-03 7.584353e-05 4.145908e-06 5.072016e-03 2.656231e-07 2.940087e-10 -1.323554e-05 2.870847e-06 5.482860e-08 3.859355e-02 2.237440e-06 5.274019e-08 3.860067e-02 6.334070e-07 2.088418e-09 -7.119583e-06
0.005 8.153810e-05 -3.449958e-05 -7.989382e-01 8.147874e-05 -3.448598e-05 -7.990908e-01 5.936036e-08 -1.359719e-08 1.526628e-04 -1.502715e-05 -2.715927e-05 5.089932e-03 -5.719960e-06 -2.694679e-05 4.999895e-03 -9.307187e-06 -2.124770e-07 9.003661e-05 1.605500e-06 2.402602e-06 3.856512e-02 3.086876e-07 1.378258e-06 3.859849e-02 1.296812e-06 1.024344e-06 -3.336465e-05
0.005 8.153810e-05 -3.449958e-05 -7.989382e-01 8.147874e-05 -3.448598e-05 -7.990908e-01 5.936036e-08 -1.359719e-08 1.526628e-04 -1.502715e-05 -2.715927e-05 5.089932e-03 -5.719960e-06 -2.694679e-05 4.999895e-03 -9.307187e-06 -2.124770e-07 9.003661e-05 1.605500e-06 2.402602e-06 3.856512e-02 3.086876e-07 1.378258e-06 3.859849e-02 1.296812e-06 1.024344e-06 -3.336465e-05
0.0075 1.208589e-04 3.257425e-05 -7.991410e-01 1.207500e-04 3.255671e-05 -7.992809e-01 1.089810e-07 1.754125e-08 1.398811e-04 1.328329e-04 2.649573e-05 4.604799e-03 1.243021e-04 2.665205e-05 5.157400e-03 8.530841e-06 -1.563193e-07 -5.526017e-04 1.427444e-05 1.604887e-06 3.851725e-02 5.980902e-06 2.961559e-07 3.860246e-02 8.293537e-06 1.308731e-06 -8.520918e-05
0.0075 1.208589e-04 3.257425e-05 -7.991410e-01 1.207500e-04 3.255671e-05 -7.992809e-01 1.089810e-07 1.754125e-08 1.398811e-04 1.328329e-04 2.649573e-05 4.604799e-03 1.243021e-04 2.665205e-05 5.157400e-03 8.530841e-06 -1.563193e-07 -5.526017e-04 1.427444e-05 1.604887e-06 3.851725e-02 5.980902e-06 2.961559e-07 3.860246e-02 8.293537e-06 1.308731e-06 -8.520918e-05
0.01 1.075679e-04 6.469322e-05 -7.992133e-01 1.074648e-04 6.467484e-05 -7.992839e-01 1.031130e-07 1.837752e-08 7.052906e-05 6.595806e-05 6.612376e-05 4.361201e-03 6.181553e-05 6.127817e-05 5.122933e-03 4.142530e-06 4.845594e-06 -7.617312e-04 9.709212e-06 1.958308e-07 3.849505e-02 6.845071e-07 -6.867758e-07 3.860379e-02 9.024705e-06 8.826065e-07 -1.087383e-04
0.01 1.075679e-04 6.469322e-05 -7.992133e-01 1.074648e-04 6.467484e-05 -7.992839e-01 1.031130e-07 1.837752e-08 7.052906e-05 6.595806e-05 6.612376e-05 4.361201e-03 6.181553e-05 6.127817e-05 5.122933e-03 4.142530e-06 4.845594e-06 -7.617312e-04 9.709212e-06 1.958308e-07 3.849505e-02 6.845071e-07 -6.867758e-07 3.860379e-02 9.024705e-06 8.826065e-07 -1.087383e-04
0.0125 3.095451e-05 -6.492519e-05 -7.990953e-01 3.087596e-05 -6.491622e-05 -7.991194e-01 7.854347e-08 -8.970142e-09 2.406905e-05 5.665898e-05 -6.154896e-05 4.190663e-03 4.741066e-05 -6.020124e-05 5.087012e-03 9.248325e-06 -1.347722e-06 -8.963483e-04 1.484418e-05 -1.218482e-06 3.847344e-02 2.788787e-06 -1.125549e-06 3.860416e-02 1.205540e-05 -9.293246e-08 -1.307179e-04
0.0125 3.095451e-05 -6.492519e-05 -7.990953e-01 3.087596e-05 -6.491622e-05 -7.991194e-01 7.854347e-08 -8.970142e-09 2.406905e-05 5.665898e-05 -6.154896e-05 4.190663e-03 4.741066e-05 -6.020124e-05 5.087012e-03 9.248325e-06 -1.347722e-06 -8.963483e-04 1.484418e-05 -1.218482e-06 3.847344e-02 2.788787e-06 -1.125549e-06 3.860416e-02 1.205540e-05 -9.293246e-08 -1.307179e-04
