# Moment bins 
# bins        : 3
# start       : 4.262203e-03
# end         : 5.000496e-01
# delta       : 1.652625e-01
# direction   : (0.000000e+00 0.000000e+00 1.000000e+00)
# x co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	1.695247e-01	3.347871e-01	5.000496e-01
#
# Time        	0:(total_x total_y total_z)	0:(pressure_x pressure_y pressure_z)	0:(viscous_x viscous_y viscous_z)	1:(total_x total_y total_z)	1:(pressure_x pressure_y pressure_z)	1:(viscous_x viscous_y viscous_z)	2:(total_x total_y total_z)	2:(pressure_x pressure_y pressure_z)	2:(viscous_x viscous_y viscous_z)
0             	(4.272031e-09 2.560283e-07 6.191599e-12)	(4.272031e-09 2.560283e-07 6.191599e-12)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.148416e-08 -9.871816e-06 5.709160e-12)	(1.148416e-08 -9.871816e-06 5.709160e-12)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-4.780758e-12 -4.080289e-10 1.433497e-18)	(-4.780758e-12 -4.080289e-10 1.433497e-18)	(0.000000e+00 0.000000e+00 0.000000e+00)
0             	(4.272031e-09 2.560283e-07 6.191599e-12)	(4.272031e-09 2.560283e-07 6.191599e-12)	(0.000000e+00 0.000000e+00 0.000000e+00)	(1.148416e-08 -9.871816e-06 5.709160e-12)	(1.148416e-08 -9.871816e-06 5.709160e-12)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-4.780758e-12 -4.080289e-10 1.433497e-18)	(-4.780758e-12 -4.080289e-10 1.433497e-18)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0025        	(7.536539e-07 -2.582433e-05 1.869431e-06)	(7.536406e-07 -2.582081e-05 1.811975e-06)	(1.335378e-11 -3.523204e-09 5.745627e-08)	(4.218881e-08 -1.351413e-06 1.235817e-06)	(4.247647e-08 -1.369436e-06 1.143322e-06)	(-2.876577e-10 1.802276e-08 9.249586e-08)	(-9.329646e-09 5.424835e-07 1.349662e-07)	(-8.924337e-09 4.152615e-07 2.158454e-09)	(-4.053090e-10 1.272220e-07 1.328077e-07)
0.0025        	(7.536539e-07 -2.582433e-05 1.869431e-06)	(7.536406e-07 -2.582081e-05 1.811975e-06)	(1.335378e-11 -3.523204e-09 5.745627e-08)	(4.218881e-08 -1.351413e-06 1.235817e-06)	(4.247647e-08 -1.369436e-06 1.143322e-06)	(-2.876577e-10 1.802276e-08 9.249586e-08)	(-9.329646e-09 5.424835e-07 1.349662e-07)	(-8.924337e-09 4.152615e-07 2.158454e-09)	(-4.053090e-10 1.272220e-07 1.328077e-07)
0.005         	(-4.308588e-06 -2.486524e-05 -1.355858e-07)	(-4.306325e-06 -2.485256e-05 -1.072842e-07)	(-2.262910e-09 -1.268590e-08 -2.830160e-08)	(-2.372580e-07 -1.587626e-06 -2.860558e-07)	(-4.439418e-07 -6.520893e-07 -6.460615e-08)	(2.066838e-07 -9.355365e-07 -2.214497e-07)	(-4.425228e-07 4.079925e-07 -1.361050e-07)	(-2.321862e-07 1.367374e-07 -2.521758e-11)	(-2.103367e-07 2.712551e-07 -1.360798e-07)
0.005         	(-4.308588e-06 -2.486524e-05 -1.355858e-07)	(-4.306325e-06 -2.485256e-05 -1.072842e-07)	(-2.262910e-09 -1.268590e-08 -2.830160e-08)	(-2.372580e-07 -1.587626e-06 -2.860558e-07)	(-4.439418e-07 -6.520893e-07 -6.460615e-08)	(2.066838e-07 -9.355365e-07 -2.214497e-07)	(-4.425228e-07 4.079925e-07 -1.361050e-07)	(-2.321862e-07 1.367374e-07 -2.521758e-11)	(-2.103367e-07 2.712551e-07 -1.360798e-07)
0.0075        	(3.710926e-06 -2.647828e-05 1.003095e-07)	(3.709859e-06 -2.646078e-05 7.741881e-08)	(1.066844e-09 -1.750046e-08 2.289073e-08)	(6.040735e-07 -5.013094e-07 1.047295e-07)	(5.018340e-07 -1.367666e-06 6.734329e-08)	(1.022395e-07 8.663569e-07 3.738624e-08)	(-3.339692e-07 2.610828e-06 1.336276e-07)	(-6.702748e-08 9.729641e-07 8.909410e-11)	(-2.669418e-07 1.637864e-06 1.335385e-07)
0.0075        	(3.710926e-06 -2.647828e-05 1.003095e-07)	(3.709859e-06 -2.646078e-05 7.741881e-08)	(1.066844e-09 -1.750046e-08 2.289073e-08)	(6.040735e-07 -5.013094e-07 1.047295e-07)	(5.018340e-07 -1.367666e-06 6.734329e-08)	(1.022395e-07 8.663569e-07 3.738624e-08)	(-3.339692e-07 2.610828e-06 1.336276e-07)	(-6.702748e-08 9.729641e-07 8.909410e-11)	(-2.669418e-07 1.637864e-06 1.335385e-07)
0.01          	(8.016121e-06 -2.514895e-05 -3.845772e-08)	(8.014113e-06 -2.513353e-05 -3.319615e-08)	(2.007705e-09 -1.541729e-08 -5.261571e-09)	(4.426725e-07 -1.894430e-06 7.418161e-08)	(9.424652e-07 -2.292297e-06 -4.019565e-08)	(-4.997928e-07 3.978671e-07 1.143773e-07)	(-5.132555e-08 1.981187e-06 -1.458455e-08)	(1.405480e-07 1.785727e-07 -4.965726e-10)	(-1.918735e-07 1.802614e-06 -1.408798e-08)
0.01          	(8.016121e-06 -2.514895e-05 -3.845772e-08)	(8.014113e-06 -2.513353e-05 -3.319615e-08)	(2.007705e-09 -1.541729e-08 -5.261571e-09)	(4.426725e-07 -1.894430e-06 7.418161e-08)	(9.424652e-07 -2.292297e-06 -4.019565e-08)	(-4.997928e-07 3.978671e-07 1.143773e-07)	(-5.132555e-08 1.981187e-06 -1.458455e-08)	(1.405480e-07 1.785727e-07 -4.965726e-10)	(-1.918735e-07 1.802614e-06 -1.408798e-08)
