# Moment 
# CofR : 1.500000e+00 1.187560e-10 2.250000e-01
#
# Time total_x total_y total_z pressure_x pressure_y pressure_z viscous_x viscous_y viscous_z
0 2.558654e-07 -1.097286e-09 -5.186095e-07 2.558654e-07 -1.097286e-09 -5.186095e-07 0.000000e+00 0.000000e+00 0.000000e+00
0 2.558654e-07 -1.097286e-09 -5.186095e-07 2.558654e-07 -1.097286e-09 -5.186095e-07 0.000000e+00 0.000000e+00 0.000000e+00
0.005 8.086143e-07 -1.875101e-06 -3.875911e-08 8.083532e-07 -2.065797e-06 -4.944699e-08 2.610598e-10 1.906965e-07 1.068788e-08
0.005 8.086143e-07 -1.875101e-06 -3.875911e-08 8.083532e-07 -2.065797e-06 -4.944699e-08 2.610598e-10 1.906965e-07 1.068788e-08
0.01 8.402972e-06 -4.441018e-06 -1.189048e-07 8.837881e-06 -4.739778e-06 -2.122969e-07 -4.349098e-07 2.987602e-07 9.339209e-08
0.01 8.402972e-06 -4.441018e-06 -1.189048e-07 8.837881e-06 -4.739778e-06 -2.122969e-07 -4.349098e-07 2.987602e-07 9.339209e-08
0.015 -1.013607e-05 5.233941e-06 -5.336268e-07 -7.778961e-06 2.529313e-06 5.065911e-07 -2.357110e-06 2.704628e-06 -1.040218e-06
0.015 -1.013607e-05 5.233941e-06 -5.336268e-07 -7.778961e-06 2.529313e-06 5.065911e-07 -2.357110e-06 2.704628e-06 -1.040218e-06
0.02 1.453438e-05 -2.394689e-06 -1.020147e-06 1.328657e-05 -7.160654e-06 3.705149e-07 1.247807e-06 4.765965e-06 -1.390662e-06
0.02 1.453438e-05 -2.394689e-06 -1.020147e-06 1.328657e-05 -7.160654e-06 3.705149e-07 1.247807e-06 4.765965e-06 -1.390662e-06
0.025 -8.471279e-06 -4.524322e-06 5.784839e-08 -9.418098e-06 -1.108300e-05 3.187894e-07 9.468191e-07 6.558674e-06 -2.609410e-07
0.025 -8.471279e-06 -4.524322e-06 5.784839e-08 -9.418098e-06 -1.108300e-05 3.187894e-07 9.468191e-07 6.558674e-06 -2.609410e-07
0.03 2.308090e-05 1.160731e-05 -1.543927e-06 2.046179e-05 5.349525e-06 -1.019472e-06 2.619108e-06 6.257785e-06 -5.244555e-07
0.03 2.308090e-05 1.160731e-05 -1.543927e-06 2.046179e-05 5.349525e-06 -1.019472e-06 2.619108e-06 6.257785e-06 -5.244555e-07
0.035 -1.419667e-05 -3.847597e-06 -1.591985e-06 -1.725419e-05 -1.090462e-05 -4.161872e-07 3.057513e-06 7.057023e-06 -1.175798e-06
0.035 -1.419667e-05 -3.847597e-06 -1.591985e-06 -1.725419e-05 -1.090462e-05 -4.161872e-07 3.057513e-06 7.057023e-06 -1.175798e-06
0.04 9.356326e-06 9.310503e-06 -1.511020e-06 5.512916e-06 -9.687795e-07 -4.694198e-08 3.843410e-06 1.027928e-05 -1.464078e-06
0.04 9.356326e-06 9.310503e-06 -1.511020e-06 5.512916e-06 -9.687795e-07 -4.694198e-08 3.843410e-06 1.027928e-05 -1.464078e-06
0.045 2.077117e-05 -1.083411e-06 -5.014371e-07 1.763610e-05 -9.805259e-06 6.021767e-07 3.135074e-06 8.721849e-06 -1.103614e-06
0.045 2.077117e-05 -1.083411e-06 -5.014371e-07 1.763610e-05 -9.805259e-06 6.021767e-07 3.135074e-06 8.721849e-06 -1.103614e-06
0.05 -2.770477e-07 2.512092e-05 -2.383575e-06 2.265061e-06 1.737090e-05 -4.526427e-07 -2.542108e-06 7.750024e-06 -1.930932e-06
0.05 -2.770477e-07 2.512092e-05 -2.383575e-06 2.265061e-06 1.737090e-05 -4.526427e-07 -2.542108e-06 7.750024e-06 -1.930932e-06
0.055 -4.013041e-06 -6.666072e-06 -2.040581e-06 -6.478635e-06 -2.172408e-05 -6.863392e-07 2.465594e-06 1.505801e-05 -1.354242e-06
0.055 -4.013041e-06 -6.666072e-06 -2.040581e-06 -6.478635e-06 -2.172408e-05 -6.863392e-07 2.465594e-06 1.505801e-05 -1.354242e-06
0.06 -2.235903e-05 1.145412e-06 -1.173232e-06 -2.977214e-05 -1.508231e-05 -8.063393e-08 7.413111e-06 1.622772e-05 -1.092598e-06
0.06 -2.235903e-05 1.145412e-06 -1.173232e-06 -2.977214e-05 -1.508231e-05 -8.063393e-08 7.413111e-06 1.622772e-05 -1.092598e-06
0.065 5.692054e-05 1.921934e-05 -7.344981e-08 4.931890e-05 6.274492e-06 8.568764e-07 7.601631e-06 1.294485e-05 -9.303262e-07
0.065 5.692054e-05 1.921934e-05 -7.344981e-08 4.931890e-05 6.274492e-06 8.568764e-07 7.601631e-06 1.294485e-05 -9.303262e-07
0.07 -2.147234e-05 7.076259e-06 -1.018587e-06 -2.027171e-05 -4.895046e-06 -1.704227e-07 -1.200628e-06 1.197130e-05 -8.481642e-07
0.07 -2.147234e-05 7.076259e-06 -1.018587e-06 -2.027171e-05 -4.895046e-06 -1.704227e-07 -1.200628e-06 1.197130e-05 -8.481642e-07
0.075 1.056204e-05 6.345302e-06 -1.174782e-06 -1.204046e-07 -1.440064e-05 -1.349522e-06 1.068245e-05 2.074594e-05 1.747395e-07
0.075 1.056204e-05 6.345302e-06 -1.174782e-06 -1.204046e-07 -1.440064e-05 -1.349522e-06 1.068245e-05 2.074594e-05 1.747395e-07
0.08 -2.009717e-05 2.610237e-06 -3.209209e-07 -2.994080e-05 -1.714661e-05 3.977528e-07 9.843637e-06 1.975685e-05 -7.186737e-07
0.08 -2.009717e-05 2.610237e-06 -3.209209e-07 -2.994080e-05 -1.714661e-05 3.977528e-07 9.843637e-06 1.975685e-05 -7.186737e-07
0.085 2.321166e-05 7.867517e-06 -5.088578e-07 1.538410e-05 -1.060559e-05 1.708389e-07 7.827553e-06 1.847311e-05 -6.796968e-07
0.085 2.321166e-05 7.867517e-06 -5.088578e-07 1.538410e-05 -1.060559e-05 1.708389e-07 7.827553e-06 1.847311e-05 -6.796968e-07
0.09 -1.686070e-06 8.361374e-06 -5.508053e-07 6.096686e-06 -9.969148e-06 1.145642e-07 -7.782756e-06 1.833052e-05 -6.653696e-07
0.09 -1.686070e-06 8.361374e-06 -5.508053e-07 6.096686e-06 -9.969148e-06 1.145642e-07 -7.782756e-06 1.833052e-05 -6.653696e-07
0.09 -1.686070e-06 8.361374e-06 -5.508053e-07 6.096686e-06 -9.969148e-06 1.145642e-07 -7.782756e-06 1.833052e-05 -6.653696e-07
0.095 1.054417e-05 1.393142e-05 -1.991608e-06 4.601736e-06 -6.286164e-06 -6.637607e-07 5.942435e-06 2.021758e-05 -1.327847e-06
0.095 1.054417e-05 1.393142e-05 -1.991608e-06 4.601736e-06 -6.286164e-06 -6.637607e-07 5.942435e-06 2.021758e-05 -1.327847e-06
0.095 1.054417e-05 1.393142e-05 -1.991608e-06 4.601736e-06 -6.286164e-06 -6.637607e-07 5.942435e-06 2.021758e-05 -1.327847e-06
0.1 7.682787e-07 1.423974e-05 -9.009508e-07 -6.164965e-06 -6.551869e-06 -1.148341e-06 6.933244e-06 2.079161e-05 2.473906e-07
0.1 7.682787e-07 1.423974e-05 -9.009508e-07 -6.164965e-06 -6.551869e-06 -1.148341e-06 6.933244e-06 2.079161e-05 2.473906e-07
0.1 7.682787e-07 1.423974e-05 -9.009508e-07 -6.164965e-06 -6.551869e-06 -1.148341e-06 6.933244e-06 2.079161e-05 2.473906e-07
0.105 1.692148e-05 1.237332e-05 -1.715916e-07 2.141899e-05 -5.946994e-06 3.026077e-08 -4.497516e-06 1.832031e-05 -2.018524e-07
0.105 1.692148e-05 1.237332e-05 -1.715916e-07 2.141899e-05 -5.946994e-06 3.026077e-08 -4.497516e-06 1.832031e-05 -2.018524e-07
0.105 1.692148e-05 1.237332e-05 -1.715916e-07 2.141899e-05 -5.946994e-06 3.026077e-08 -4.497516e-06 1.832031e-05 -2.018524e-07
0.11 -1.387405e-05 1.516041e-05 4.175744e-06 -9.718797e-06 -8.779112e-06 1.249794e-06 -4.155255e-06 2.393952e-05 2.925949e-06
0.11 -1.387405e-05 1.516041e-05 4.175744e-06 -9.718797e-06 -8.779112e-06 1.249794e-06 -4.155255e-06 2.393952e-05 2.925949e-06
0.115 1.110243e-05 -1.504610e-05 6.495893e-07 5.727108e-06 -3.453533e-05 -8.996558e-07 5.375324e-06 1.948923e-05 1.549245e-06
0.115 1.110243e-05 -1.504610e-05 6.495893e-07 5.727108e-06 -3.453533e-05 -8.996558e-07 5.375324e-06 1.948923e-05 1.549245e-06
0.12 -1.053684e-05 1.183787e-05 2.376824e-06 -1.963935e-05 -1.460123e-05 -2.917874e-06 9.102515e-06 2.643910e-05 5.294698e-06
0.12 -1.053684e-05 1.183787e-05 2.376824e-06 -1.963935e-05 -1.460123e-05 -2.917874e-06 9.102515e-06 2.643910e-05 5.294698e-06
0.125 1.033961e-05 -5.593039e-07 6.077440e-06 3.669648e-06 -2.732620e-05 1.037092e-07 6.669963e-06 2.676690e-05 5.973731e-06
0.125 1.033961e-05 -5.593039e-07 6.077440e-06 3.669648e-06 -2.732620e-05 1.037092e-07 6.669963e-06 2.676690e-05 5.973731e-06
0.13 -4.593674e-06 1.334513e-05 5.628039e-06 -7.450100e-06 -1.591881e-05 3.621167e-07 2.856426e-06 2.926394e-05 5.265922e-06
0.13 -4.593674e-06 1.334513e-05 5.628039e-06 -7.450100e-06 -1.591881e-05 3.621167e-07 2.856426e-06 2.926394e-05 5.265922e-06
0.135 -1.055049e-05 4.250149e-06 3.955087e-06 -2.174701e-05 -2.560776e-05 3.011695e-07 1.119652e-05 2.985790e-05 3.653917e-06
0.135 -1.055049e-05 4.250149e-06 3.955087e-06 -2.174701e-05 -2.560776e-05 3.011695e-07 1.119652e-05 2.985790e-05 3.653917e-06
0.14 5.002536e-06 -9.049592e-06 1.841153e-06 -1.230746e-05 -4.689205e-05 -1.002242e-07 1.730999e-05 3.784246e-05 1.941377e-06
0.14 5.002536e-06 -9.049592e-06 1.841153e-06 -1.230746e-05 -4.689205e-05 -1.002242e-07 1.730999e-05 3.784246e-05 1.941377e-06
0.145 3.734001e-05 1.538531e-05 3.346109e-06 2.163292e-05 -2.450098e-05 4.564600e-07 1.570709e-05 3.988630e-05 2.889649e-06
0.145 3.734001e-05 1.538531e-05 3.346109e-06 2.163292e-05 -2.450098e-05 4.564600e-07 1.570709e-05 3.988630e-05 2.889649e-06
0.15 4.021800e-05 1.096737e-05 8.464661e-07 3.704639e-05 -3.343930e-05 -1.719018e-06 3.171606e-06 4.440668e-05 2.565484e-06
0.15 4.021800e-05 1.096737e-05 8.464661e-07 3.704639e-05 -3.343930e-05 -1.719018e-06 3.171606e-06 4.440668e-05 2.565484e-06
0.155 2.920497e-05 2.576555e-05 4.339863e-06 2.033477e-05 -1.863568e-05 2.404710e-06 8.870200e-06 4.440123e-05 1.935153e-06
0.155 2.920497e-05 2.576555e-05 4.339863e-06 2.033477e-05 -1.863568e-05 2.404710e-06 8.870200e-06 4.440123e-05 1.935153e-06
0.16 3.300184e-06 1.707375e-05 4.639437e-06 -6.590998e-06 -3.378487e-05 2.349238e-06 9.891182e-06 5.085862e-05 2.290198e-06
0.16 3.300184e-06 1.707375e-05 4.639437e-06 -6.590998e-06 -3.378487e-05 2.349238e-06 9.891182e-06 5.085862e-05 2.290198e-06
0.165 1.124140e-05 1.990396e-05 -4.608208e-07 3.939979e-06 -3.109151e-05 -2.274558e-06 7.301422e-06 5.099547e-05 1.813737e-06
0.165 1.124140e-05 1.990396e-05 -4.608208e-07 3.939979e-06 -3.109151e-05 -2.274558e-06 7.301422e-06 5.099547e-05 1.813737e-06
0.17 5.489540e-06 2.137846e-05 -1.370256e-06 1.182369e-05 -3.259286e-05 -1.330296e-06 -6.334146e-06 5.397132e-05 -3.996025e-08
0.17 5.489540e-06 2.137846e-05 -1.370256e-06 1.182369e-05 -3.259286e-05 -1.330296e-06 -6.334146e-06 5.397132e-05 -3.996025e-08
0.175 1.963527e-05 2.005392e-05 5.287887e-06 2.660741e-05 -3.149389e-05 3.942534e-06 -6.972146e-06 5.154780e-05 1.345353e-06
0.175 1.963527e-05 2.005392e-05 5.287887e-06 2.660741e-05 -3.149389e-05 3.942534e-06 -6.972146e-06 5.154780e-05 1.345353e-06
0.18 -7.549120e-06 1.269382e-05 4.003337e-06 -1.262824e-05 -4.214335e-05 2.811167e-06 5.079124e-06 5.483717e-05 1.192171e-06
0.18 -7.549120e-06 1.269382e-05 4.003337e-06 -1.262824e-05 -4.214335e-05 2.811167e-06 5.079124e-06 5.483717e-05 1.192171e-06
0.185 1.159435e-05 1.512363e-05 -5.000006e-07 6.598456e-06 -4.108913e-05 -2.767013e-06 4.995895e-06 5.621276e-05 2.267013e-06
0.185 1.159435e-05 1.512363e-05 -5.000006e-07 6.598456e-06 -4.108913e-05 -2.767013e-06 4.995895e-06 5.621276e-05 2.267013e-06
