% 1-PFA-1-1 1-RMSA-1-1 1-PFD-1-1 1-PID-1-1
12.1453 0.128758 0.034762 0.000241404
12.0571 0.126169 0.0327765 0.000227614
11.9085 0.125579 0.0332489 0.000230896
12.1994 0.129737 0.0347782 0.000241513
12.6562 0.136355 0.0328926 0.000228421
12.2003 0.129942 0.0356736 0.00024773
12.2652 0.130237 0.0333228 0.000231409
12.3815 0.131562 0.0334607 0.000232367
12.2856 0.130598 0.0326008 0.000226395
12.1723 0.127894 0.0320217 0.000222373
12.6162 0.136113 0.0341692 0.000237286
12.5257 0.134816 0.0341986 0.000237489
12.5004 0.132938 0.0321765 0.000223447
12.0702 0.128703 0.0341128 0.000236895
12.2046 0.129868 0.034463 0.000239325
12.3364 0.131975 0.0331844 0.000230447
12.2295 0.129886 0.0327716 0.000227581
12.4694 0.133663 0.0322287 0.00022381
12.1505 0.12893 0.0346867 0.000240881
12.2484 0.130385 0.0340374 0.000236368
12.2455 0.129638 0.032143 0.000223214
12.2996 0.130469 0.0319844 0.000222115
12.0877 0.127464 0.0335757 0.000233165
12.3189 0.130727 0.0320236 0.000222386
12.1738 0.128692 0.0333774 0.000231787
12.0918 0.127478 0.0333236 0.000231415
12.4414 0.133205 0.0322878 0.000224221
12.4767 0.133653 0.0345084 0.000239642
12.2348 0.130205 0.034084 0.000236695
12.2486 0.130156 0.03351 0.000232708
12.4473 0.133156 0.0341075 0.000236857
12.0105 0.127579 0.0332977 0.000231233
12.4471 0.133192 0.0338381 0.000234987
12.3417 0.131262 0.0322287 0.000223807
11.8834 0.124736 0.0341378 0.000237068
12.4346 0.133728 0.0349622 0.000242792
11.3903 0.116892 0.0336513 0.000233689
12.2548 0.130619 0.0345244 0.000239758
12.3475 0.131207 0.0330138 0.000229263
12.1802 0.129874 0.0359962 0.000249973
12.3339 0.130807 0.0326997 0.000227082
12.1497 0.128006 0.033646 0.000233653
12.2272 0.129762 0.0346449 0.000240591
12.1939 0.128507 0.0326548 0.000226771
