Run #, fc, fy, E, 1-PFA-1-1, 1-RMSA-1-1, 1-PFD-1-1, 1-PID-1-1
1, 5.26905, 63.2124, 27183.4, 12.1453, 0.128758, 0.034762, 0.000241404
2, 6.08635, 61.1019, 33579.6, 12.0571, 0.126169, 0.0327765, 0.000227614
3, 6.042, 55.1805, 30178.1, 11.9085, 0.125579, 0.0332489, 0.000230896
4, 4.79928, 57.9057, 32497, 12.1994, 0.129737, 0.0347782, 0.000241513
5, 6.31936, 51.1734, 29916.3, 12.6562, 0.136355, 0.0328926, 0.000228421
6, 4.63387, 65.7357, 27764.9, 12.2003, 0.129942, 0.0356736, 0.00024773
7, 6.33515, 54.2575, 26186.4, 12.2652, 0.130237, 0.0333228, 0.000231409
8, 5.48489, 59.1384, 34894, 12.3815, 0.131562, 0.0334607, 0.000232367
9, 6.52043, 67.4757, 30043.5, 12.2856, 0.130598, 0.0326008, 0.000226395
10, 6.78601, 62.0512, 31949.9, 12.1723, 0.127894, 0.0320217, 0.000222373
11, 5.20094, 58.4262, 32540.4, 12.6162, 0.136113, 0.0341692, 0.000237286
12, 5.16093, 57.3731, 32773.8, 12.5257, 0.134816, 0.0341986, 0.000237489
13, 6.42878, 58.4003, 34732, 12.5004, 0.132938, 0.0321765, 0.000223447
14, 5.29109, 63.2526, 31939.3, 12.0702, 0.128703, 0.0341128, 0.000236895
15, 4.9751, 56.8598, 32872.7, 12.2046, 0.129868, 0.034463, 0.000239325
16, 6.05878, 57.8309, 30513, 12.3364, 0.131975, 0.0331844, 0.000230447
17, 6.62215, 58.8265, 27429.8, 12.2295, 0.129886, 0.0327716, 0.000227581
18, 6.89903, 62.0284, 28849.9, 12.4694, 0.133663, 0.0322287, 0.00022381
19, 5.3022, 61.2476, 27373.1, 12.1505, 0.12893, 0.0346867, 0.000240881
20, 5.25202, 45.8313, 32983.4, 12.2484, 0.130385, 0.0340374, 0.000236368
21, 7.10524, 56.9585, 27209.7, 12.2455, 0.129638, 0.032143, 0.000223214
22, 6.95314, 57.3033, 30345.7, 12.2996, 0.130469, 0.0319844, 0.000222115
23, 6.19829, 59.5777, 25718.6, 12.0877, 0.127464, 0.0335757, 0.000233165
24, 6.74725, 71.2287, 32381.2, 12.3189, 0.130727, 0.0320236, 0.000222386
25, 6.12577, 58.6109, 28162.2, 12.1738, 0.128692, 0.0333774, 0.000231787
26, 6.32964, 57.7201, 26243.6, 12.0918, 0.127478, 0.0333236, 0.000231415
27, 6.93857, 58.9349, 27884, 12.4414, 0.133205, 0.0322878, 0.000224221
28, 5.13109, 62.8456, 30718.1, 12.4767, 0.133653, 0.0345084, 0.000239642
29, 5.77441, 51.9559, 26575.7, 12.2348, 0.130205, 0.034084, 0.000236695
30, 5.78665, 70.4941, 31007.6, 12.2486, 0.130156, 0.03351, 0.000232708
31, 5.89726, 62.2864, 24971.3, 12.4473, 0.133156, 0.0341075, 0.000236857
32, 6.02964, 64.0391, 29923.1, 12.0105, 0.127579, 0.0332977, 0.000231233
33, 5.62029, 64.9339, 30301.2, 12.4471, 0.133192, 0.0338381, 0.000234987
34, 7.04561, 62.3044, 27157.9, 12.3417, 0.131262, 0.0322287, 0.000223807
35, 5.43927, 62.9336, 30029.9, 11.8834, 0.124736, 0.0341378, 0.000237068
36, 4.90065, 55.0826, 29934.3, 12.4346, 0.133728, 0.0349622, 0.000242792
37, 5.76293, 62.5432, 30143.8, 11.3903, 0.116892, 0.0336513, 0.000233689
38, 5.25925, 48.2684, 29111, 12.2548, 0.130619, 0.0345244, 0.000239758
39, 5.73608, 58.8715, 35650.6, 12.3475, 0.131207, 0.0330138, 0.000229263
40, 4.50315, 62.9216, 26955.1, 12.1802, 0.129874, 0.0359962, 0.000249973
41, 6.66369, 55.2916, 27553.9, 12.3339, 0.130807, 0.0326997, 0.000227082
42, 5.79668, 57.2397, 29796, 12.1497, 0.128006, 0.033646, 0.000233653
43, 5.55517, 61.2779, 24765.7, 12.2272, 0.129762, 0.0346449, 0.000240591
44, 6.88363, 55.6095, 25391.2, 12.1939, 0.128507, 0.0326548, 0.000226771
45, 6.12816, 59.5565, 30585.4, 12.3454, 0.131859, 0.0330783, 0.00022971
46, 6.47805, 50.935, 26716.6, 12.2273, 0.12949, 0.0330571, 0.000229563
47, 5.10864, 61.699, 34340.1, 12.4097, 0.132474, 0.0340758, 0.000236638
48, 5.39526, 54.8287, 34432.4, 12.3521, 0.131744, 0.0336465, 0.000233658
49, 6.18876, 65.1789, 32099, 12.5008, 0.134091, 0.032812, 0.000227861
50, 6.41742, 62.8089, 37488.4, 12.4211, 0.132039, 0.0318754, 0.000221358
51, 6.38667, 68.7681, 27260.8, 12.4628, 0.133234, 0.0331193, 0.000229994
52, 5.94359, 63.5672, 35906, 12.6273, 0.13498, 0.032696, 0.000227055
53, 4.55864, 55.5862, 30186.2, 12.2087, 0.13016, 0.0354615, 0.000246254
54, 6.48561, 58.4973, 30125.8, 11.944, 0.12412, 0.0326387, 0.000226658
55, 5.8254, 53.3853, 33953.1, 12.4263, 0.133222, 0.0330942, 0.000229821
56, 5.333, 53.2039, 29943.4, 12.4465, 0.133641, 0.0343064, 0.00023824
57, 5.8307, 59.9942, 31960.5, 12.0613, 0.127334, 0.0333297, 0.000231456
58, 5.69047, 58.4049, 32348.9, 12.3693, 0.132116, 0.0334815, 0.00023251
59, 5.46291, 59.4918, 33852.3, 12.523, 0.134245, 0.0336214, 0.000233482
60, 5.82735, 57.3911, 31664.8, 12.1572, 0.129329, 0.0333708, 0.000231741
61, 6.01686, 62.3501, 30785.5, 11.8322, 0.123138, 0.0332103, 0.000230627
62, 6.22778, 61.9109, 33007, 12.1122, 0.127459, 0.0326503, 0.000226738
63, 5.9768, 48.4439, 29254.2, 12.3626, 0.131595, 0.0334549, 0.000232328
64, 6.43584, 58.9246, 37167.8, 12.5727, 0.135061, 0.0318877, 0.000221441
65, 6.19294, 58.2571, 30498.5, 12.3964, 0.132555, 0.0329983, 0.000229155
66, 4.94804, 53.7963, 34411.1, 11.8865, 0.125054, 0.0343045, 0.000238227
67, 5.93254, 70.1439, 28862.9, 12.3034, 0.130548, 0.0335667, 0.000233103
68, 5.23114, 57.0686, 27389, 12.2975, 0.131208, 0.0347928, 0.000241618
69, 5.56985, 73.2414, 32826.3, 12.3031, 0.13069, 0.0335955, 0.000233301
70, 5.72356, 62.3308, 29435.8, 11.6025, 0.120528, 0.0337968, 0.0002347
71, 5.91976, 59.197, 30556.6, 12.0773, 0.127441, 0.0333757, 0.000231776
72, 4.96133, 50.1091, 29881.2, 12.4573, 0.133851, 0.034876, 0.000242195
73, 5.89946, 61.4355, 29201.7, 11.8859, 0.123589, 0.0335722, 0.000233139
74, 5.83556, 62.6033, 29223.5, 11.7175, 0.122161, 0.0336614, 0.000233759
75, 6.11173, 57.9298, 33182.1, 12.4738, 0.132576, 0.0327889, 0.000227701
76, 5.6068, 53.9289, 30972.4, 12.3904, 0.132137, 0.0337733, 0.000234537
77, 5.17839, 66.8926, 28410.8, 12.1389, 0.128478, 0.0347385, 0.00024124
78, 5.87947, 62.1415, 30239.5, 11.3392, 0.115792, 0.0334722, 0.000232446
79, 5.63739, 63.7238, 27948.6, 12.0407, 0.127624, 0.034111, 0.000236882
80, 5.58819, 65.3083, 29326.2, 12.39, 0.132577, 0.0340082, 0.000236168
81, 5.95574, 51.3406, 28290.9, 12.3849, 0.131063, 0.0336044, 0.000233365
82, 5.67429, 59.4138, 29660.2, 12.0783, 0.127548, 0.0338402, 0.000235001
83, 6.11666, 63.4287, 30200.1, 12.2987, 0.130864, 0.0331412, 0.000230147
84, 4.95512, 62.5758, 26045.2, 12.2133, 0.129997, 0.0354, 0.000245835
85, 5.93051, 64.2589, 32087, 12.1793, 0.129184, 0.0331734, 0.00023037
86, 6.06499, 61.6017, 29981.2, 11.8844, 0.12354, 0.0332406, 0.000230837
87, 5.3089, 65.0806, 31164.1, 11.9069, 0.125174, 0.0341855, 0.0002374
88, 5.67109, 68.5933, 29689.8, 12.4373, 0.132505, 0.0338411, 0.000235008
89, 5.2182, 53.8976, 35014.9, 12.2673, 0.130535, 0.0338299, 0.000234933
90, 6.44383, 63.7876, 31081, 12.5897, 0.133606, 0.0325828, 0.00022627
91, 5.13558, 58.6783, 24268.8, 12.251, 0.130755, 0.0353574, 0.000245541
92, 4.74905, 47.6625, 31425.7, 12.2108, 0.13013, 0.0349972, 0.000243028
93, 6.21693, 66.9064, 31495.5, 12.5228, 0.133579, 0.0328452, 0.000228092
94, 6.34445, 44.988, 30546.2, 12.2617, 0.130285, 0.0327825, 0.000227659
95, 7.11512, 59.0433, 29355.8, 12.3343, 0.131025, 0.0318839, 0.000221416
96, 5.53703, 53.2611, 28542.4, 12.4598, 0.133591, 0.0341833, 0.000237386
97, 6.98079, 57.6174, 31445.6, 12.1886, 0.128653, 0.0318227, 0.000220991
98, 5.73079, 59.8036, 28204.5, 11.6183, 0.120422, 0.0339414, 0.000235704
99, 6.25441, 64.7141, 33770, 12.2931, 0.130374, 0.0325238, 0.00022586
100, 5.4687, 56.4726, 33150.6, 12.5652, 0.134962, 0.0337006, 0.000234032
101, 5.71895, 55.5088, 32791, 12.5895, 0.134717, 0.0333864, 0.00023185
102, 6.62537, 53.3107, 31055.4, 12.6068, 0.136171, 0.0323397, 0.000224582
103, 5.77313, 58.2108, 29892.5, 12.242, 0.129376, 0.0336679, 0.000233805
104, 5.25086, 62.7383, 30271.6, 12.4478, 0.133226, 0.0343867, 0.000238797
105, 5.66782, 64.6142, 31684.5, 12.316, 0.13086, 0.0335964, 0.000233308
106, 5.92852, 65.7166, 34971.9, 12.4407, 0.132601, 0.0328281, 0.000227973
107, 6.82102, 52.9508, 28631.3, 12.2771, 0.129823, 0.0323589, 0.000224714
108, 6.95916, 56.3989, 31141.9, 12.2381, 0.129649, 0.0318856, 0.000221428
109, 7.1853, 49.4253, 32585.1, 12.2457, 0.129471, 0.0314281, 0.00021826
110, 5.9419, 72.4948, 29495.8, 12.2724, 0.130147, 0.0334748, 0.000232466
111, 6.99459, 63.704, 31071.8, 12.0237, 0.125263, 0.0318469, 0.00022116
112, 5.06547, 69.3559, 32492.3, 12.317, 0.131003, 0.034377, 0.000238729
113, 5.78366, 64.5655, 26154.2, 12.5299, 0.134692, 0.0341241, 0.000236973
114, 5.76754, 53.8396, 29834.5, 12.444, 0.132616, 0.0336832, 0.000233912
115, 6.2387, 50.7513, 29994.2, 12.6479, 0.136314, 0.0329954, 0.000229135
116, 5.86238, 51.1078, 29555.5, 12.4382, 0.132467, 0.0335814, 0.000233205
117, 6.18572, 51.5894, 29842.6, 12.4942, 0.133958, 0.0330877, 0.000229776
118, 6.57331, 56.5721, 25309.1, 12.3411, 0.131235, 0.0330942, 0.000229823
119, 5.20684, 59.6933, 29482.1, 12.5381, 0.135069, 0.0345552, 0.000239968
120, 6.48093, 53.6134, 28922.9, 12.1868, 0.128106, 0.0327881, 0.000227696
121, 5.43164, 59.0196, 23232.6, 12.2398, 0.130274, 0.0350362, 0.00024331
122, 6.26958, 55.9512, 26346, 12.2197, 0.129604, 0.0333963, 0.000231919
123, 5.44866, 65.488, 26436.8, 11.9043, 0.125582, 0.0345876, 0.000240191
124, 5.14058, 56.6187, 33599.4, 12.3477, 0.132087, 0.0341231, 0.000236966
125, 5.62506, 61.1289, 27850, 11.7823, 0.123464, 0.0341418, 0.000237096
126, 6.43012, 57.1252, 26815.1, 12.2099, 0.129358, 0.0331123, 0.000229947
127, 6.34872, 53.2331, 27758.9, 12.2915, 0.13006, 0.0331119, 0.000229944
