% 1-PFA-1-1 1-RMSA-1-1 1-PFD-1-1 1-PID-1-1
12.7199 0.13765 0.0337731 0.000234535
11.7033 0.120703 0.0326354 0.000226634
12.2348 0.130199 0.033138 0.000230125
12.6883 0.138202 0.0375177 0.00026054
12.2234 0.130209 0.0334162 0.000232057
11.7176 0.120698 0.0324159 0.00022511
12.4371 0.133471 0.032645 0.000226702
12.0929 0.128295 0.0337743 0.000234544
11.8789 0.12354 0.0306865 0.000213101
11.8049 0.122804 0.0330837 0.000229748
12.2242 0.129559 0.03475 0.00024132
12.3138 0.130073 0.0337897 0.000234651
11.7396 0.122757 0.0340904 0.000236739
12.1486 0.128148 0.0325493 0.000226036
12.3456 0.130335 0.0334108 0.000232019
11.8063 0.121738 0.0320674 0.00022269
12.5882 0.13446 0.0310843 0.000215863
11.8418 0.123286 0.0329782 0.000229015
11.8507 0.124361 0.0338565 0.000235115
11.7841 0.123515 0.0341136 0.0002369
12.6914 0.137287 0.0339458 0.000235734
12.7243 0.136923 0.0330293 0.00022937
12.6017 0.13444 0.0328203 0.000227919
12.1712 0.129556 0.0337342 0.000234265
11.7347 0.121891 0.0332956 0.000231219
12.004 0.125241 0.0321387 0.000223185
12.6524 0.134976 0.0324737 0.000225512
11.9556 0.125371 0.0331957 0.000230526
12.3381 0.130772 0.0340989 0.000236798
11.8139 0.121607 0.0317256 0.000220316
12.5924 0.135793 0.0343654 0.000238649
12.4225 0.132004 0.0336978 0.000234013
11.7694 0.122588 0.0334265 0.000232129
12.1679 0.128539 0.0346891 0.000240896
12.3712 0.131885 0.0322515 0.000223969
12.629 0.135189 0.0330525 0.000229532
12.314 0.131335 0.0327703 0.000227572
12.3982 0.132731 0.034925 0.000242534
12.3168 0.131688 0.0331148 0.000229964
12.1915 0.12935 0.0330689 0.000229645
12.3663 0.130895 0.0336178 0.000233457
12.5429 0.134889 0.0321513 0.000223273
11.795 0.122673 0.0331094 0.000229926
11.5433 0.120227 0.0370013 0.000256953
12.281 0.129363 0.0336608 0.000233756
12.6129 0.134799 0.0329647 0.000228922
12.3619 0.132153 0.032707 0.000227132
12.4303 0.132236 0.0337977 0.000234706
12.4494 0.131507 0.0307124 0.00021328
12.1408 0.128584 0.033279 0.000231104
12.026 0.126574 0.0351261 0.000243931
12.2826 0.131221 0.0333109 0.000231325
12.1046 0.128583 0.0338545 0.0002351
12.7577 0.136252 0.0319616 0.000221956
12.2664 0.130745 0.0330958 0.000229832
11.912 0.123749 0.0322967 0.000224283
11.9566 0.123604 0.0312201 0.000216806
12.1735 0.12968 0.0338067 0.000234768
11.7483 0.122185 0.0333686 0.000231726
11.6378 0.121221 0.0342487 0.000237838
12.6914 0.137287 0.0339458 0.000235734
12.7243 0.136923 0.0330293 0.00022937
12.6017 0.13444 0.0328203 0.000227919
12.1712 0.129556 0.0337342 0.000234265
11.7347 0.121891 0.0332956 0.000231219
12.004 0.125241 0.0321387 0.000223185
12.6524 0.134976 0.0324737 0.000225512
11.9556 0.125371 0.0331957 0.000230526
12.3381 0.130772 0.0340989 0.000236798
11.8139 0.121607 0.0317256 0.000220316
12.5924 0.135793 0.0343654 0.000238649
12.4225 0.132004 0.0336978 0.000234013
11.7694 0.122588 0.0334265 0.000232129
12.1679 0.128539 0.0346891 0.000240896
12.3712 0.131885 0.0322515 0.000223969
12.629 0.135189 0.0330525 0.000229532
12.314 0.131335 0.0327703 0.000227572
12.3982 0.132731 0.034925 0.000242534
12.3168 0.131688 0.0331148 0.000229964
12.1915 0.12935 0.0330689 0.000229645
11.7092 0.122268 0.0341036 0.00023683
12.3376 0.130296 0.0335359 0.000232888
11.8398 0.123112 0.0328485 0.000228115
12.1778 0.128121 0.0341701 0.000237293
12.0161 0.126196 0.0330554 0.000229551
12.5327 0.134088 0.0316126 0.000219532
11.9106 0.123811 0.0324124 0.000225086
11.8317 0.123333 0.033173 0.000230368
12.3896 0.131708 0.0340681 0.000236584
11.7501 0.122074 0.0315452 0.000219064
11.8347 0.124244 0.034003 0.000236132
12.2504 0.129351 0.0341861 0.000237403
11.9873 0.126409 0.0336575 0.000233733
12.4698 0.134471 0.0353641 0.000245584
12.5962 0.134047 0.0325531 0.000226063
11.9325 0.124564 0.0328142 0.000227876
11.7345 0.121187 0.032623 0.000226549
12.1292 0.129219 0.0340502 0.00023646
12.5901 0.135028 0.0335965 0.000233309
12.6208 0.134919 0.0329415 0.00022876
