% fc fy E
5.46494 69.285 32532.9
6.89707 58.7763 25316.5
5.84268 62.6472 33309.5
3.78904 58.7472 24714.7
6.05847 68.1934 28541.5
6.35028 59.3551 33497.3
6.26353 66.9938 32554.5
5.56864 48.4761 31324.1
7.8615 57.0804 31507.3
5.84297 55.5586 33754.2
5.36973 64.6006 26028.9
5.82914 59.1467 28189.2
5.31882 55.0451 31712.7
6.91102 60.8859 25884.2
5.68938 62.8941 32852.4
6.61244 60.5182 33471.4
7.66114 53.5285 30136.6
5.7616 58.9524 35567.5
5.87429 60.3694 27135.5
5.20411 54.9095 32857.8
5.23898 64.0623 33775.4
6.25371 61.0737 29456.3
6.05036 67.1445 33545.2
5.86992 57.8695 28160.9
6.31422 65.2099 26568
6.95674 68.7449 28875.9
6.43444 60.5788 32032.4
5.98956 53.4496 31137.8
5.35172 67.4278 31265.6
6.98655 57.6518 32150.2
5.86973 48.6977 23196.5
5.5587 59.2154 32049.9
5.6158 60.6145 33575
4.98494 61.3122 30945.4
6.30502 53.4985 35429.5
6.06117 67.8071 31489.3
6.48887 58.129 28896.8
5.01282 58.4438 28835.1
6.05406 62.3492 31058
6.0224 54.1639 31802.3
5.46494 64.0623 33775.4
6.89707 61.0737 29456.3
5.84268 67.1445 33545.2
3.78904 57.8695 28160.9
6.05847 65.2099 26568
6.35028 68.7449 28875.9
6.26353 60.5788 32032.4
5.56864 53.4496 31137.8
7.8615 67.4278 31265.6
5.84297 57.6518 32150.2
5.36973 48.6977 23196.5
5.82914 59.2154 32049.9
5.31882 60.6145 33575
6.91102 61.3122 30945.4
5.68938 53.4985 35429.5
6.61244 67.8071 31489.3
7.66114 58.129 28896.8
5.7616 58.4438 28835.1
5.87429 62.3492 31058
5.20411 54.1639 31802.3
5.23898 69.285 33775.4
6.25371 58.7763 29456.3
6.05036 62.6472 33545.2
5.86992 58.7472 28160.9
6.31422 68.1934 26568
6.95674 59.3551 28875.9
6.43444 66.9938 32032.4
5.98956 48.4761 31137.8
5.35172 57.0804 31265.6
6.98655 55.5586 32150.2
5.86973 64.6006 23196.5
5.5587 59.1467 32049.9
5.6158 55.0451 33575
4.98494 60.8859 30945.4
6.30502 62.8941 35429.5
6.06117 60.5182 31489.3
6.48887 53.5285 28896.8
5.01282 58.9524 28835.1
6.05406 60.3694 31058
6.0224 54.9095 31802.3
5.23898 64.0623 32532.9
6.25371 61.0737 25316.5
6.05036 67.1445 33309.5
5.86992 57.8695 24714.7
6.31422 65.2099 28541.5
6.95674 68.7449 33497.3
6.43444 60.5788 32554.5
5.98956 53.4496 31324.1
5.35172 67.4278 31507.3
6.98655 57.6518 33754.2
5.86973 48.6977 26028.9
5.5587 59.2154 28189.2
5.6158 60.6145 31712.7
4.98494 61.3122 25884.2
6.30502 53.4985 32852.4
6.06117 67.8071 33471.4
6.48887 58.129 30136.6
5.01282 58.4438 35567.5
6.05406 62.3492 27135.5
6.0224 54.1639 32857.8
