Run #, fc, fy, E, 1-PFA-1-1, 1-RMSA-1-1, 1-PFD-1-1, 1-PID-1-1
1, 5.46494, 69.285, 32532.9, 12.7199, 0.13765, 0.0337731, 0.000234535
2, 6.89707, 58.7763, 25316.5, 11.7033, 0.120703, 0.0326354, 0.000226634
3, 5.84268, 62.6472, 33309.5, 12.2348, 0.130199, 0.033138, 0.000230125
4, 3.78904, 58.7472, 24714.7, 12.6883, 0.138202, 0.0375177, 0.00026054
5, 6.05847, 68.1934, 28541.5, 12.2234, 0.130209, 0.0334162, 0.000232057
6, 6.35028, 59.3551, 33497.3, 11.7176, 0.120698, 0.0324159, 0.00022511
7, 6.26353, 66.9938, 32554.5, 12.4371, 0.133471, 0.032645, 0.000226702
8, 5.56864, 48.4761, 31324.1, 12.0929, 0.128295, 0.0337743, 0.000234544
9, 7.8615, 57.0804, 31507.3, 11.8789, 0.12354, 0.0306865, 0.000213101
10, 5.84297, 55.5586, 33754.2, 11.8049, 0.122804, 0.0330837, 0.000229748
11, 5.36973, 64.6006, 26028.9, 12.2242, 0.129559, 0.03475, 0.00024132
12, 5.82914, 59.1467, 28189.2, 12.3138, 0.130073, 0.0337897, 0.000234651
13, 5.31882, 55.0451, 31712.7, 11.7396, 0.122757, 0.0340904, 0.000236739
14, 6.91102, 60.8859, 25884.2, 12.1486, 0.128148, 0.0325493, 0.000226036
15, 5.68938, 62.8941, 32852.4, 12.3456, 0.130335, 0.0334108, 0.000232019
16, 6.61244, 60.5182, 33471.4, 11.8063, 0.121738, 0.0320674, 0.00022269
17, 7.66114, 53.5285, 30136.6, 12.5882, 0.13446, 0.0310843, 0.000215863
18, 5.7616, 58.9524, 35567.5, 11.8418, 0.123286, 0.0329782, 0.000229015
19, 5.87429, 60.3694, 27135.5, 11.8507, 0.124361, 0.0338565, 0.000235115
20, 5.20411, 54.9095, 32857.8, 11.7841, 0.123515, 0.0341136, 0.0002369
21, 5.23898, 64.0623, 33775.4, 12.6914, 0.137287, 0.0339458, 0.000235734
22, 6.25371, 61.0737, 29456.3, 12.7243, 0.136923, 0.0330293, 0.00022937
23, 6.05036, 67.1445, 33545.2, 12.6017, 0.13444, 0.0328203, 0.000227919
24, 5.86992, 57.8695, 28160.9, 12.1712, 0.129556, 0.0337342, 0.000234265
